frame,PathIDX,timestamp,seconds,head_pos,head_euler,head_quaternion,gaze_confidence,gaze_pos,target_pos,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,local_x_axis,local_y_axis,local_z_axis,left_right_eye_center,left_right_eye_center_confidence,left_right_eye_gaze,left_right_eye_forward_gaze,left_right_eye_is_blinking,left_right_eye_pupil_size,calibration_status
1,99,03/15/2023 10:03:21.1955 PM,575.5413,(0.0000000_ 0.0000000_ 0.0000000),(0.0000000_ 0.0000000_ 0.0000000),(0.0000000_ 0.0000000_ 0.0000000_ 1.0000000),0.5,(-2.0201340_ 0.2002298_ 1.5854610),(0.2223000_ -0.2006000_ 0.8654000),(-2.0201340_ 0.2002298_ 1.5854610),(0.2223000_ -0.2006000_ 0.8654000),-51.87414,7.197847,14.4064,-13.0507,(1.0000000_ 0.0000000_ 0.0000000),(0.0000000_ 1.0000000_ 0.0000000),(0.0000000_ 0.0000000_ 1.0000000),(-1.7346610_ -0.0021496_ 1.1197020):(-1.6881070_ -0.0044418_ 1.1650790),1:1,(-0.0088369_ 0.3851810_ 0.0132115_ -0.9227042):(0.1629600_ 0.3269442_ 0.0844323_ -0.9270506),(-0.7110498_ -0.0061300_ 0.7031149):(-0.5786695_ 0.3573536_ 0.7331030),False:False,4.4900000:4.4500000,Good
2,99,03/15/2023 10:03:21.2097 PM,575.5413,(-1.7098810_ -0.0033836_ 1.1404410),(355.1144000_ 314.6383000_ 358.1698000),(0.0331681_ 0.3858264_ 0.0311548_ -0.9214485),0.5,(-2.0237630_ 0.1975099_ 1.5971830),(-2.1843920_ -0.1365239_ 1.9122490),(0.0994894_ 0.1570682_ 0.5593967),(0.2223000_ -0.2006000_ 0.8654001),10.08468,15.68376,14.4064,-13.0507,(0.7003347_ -0.0318208_ 0.7131050),(0.0830094_ 0.9958585_ -0.0370847),(-0.7089717_ 0.0851661_ 0.7000757),(-1.7420830_ -0.0041133_ 1.1283370):(-1.6952550_ -0.0068446_ 1.1733830),1:1,(-0.0108361_ 0.3825839_ 0.0162980_ -0.9237134):(0.1617002_ 0.3233585_ 0.0871449_ -0.9282770),(-0.7071490_ -0.0075483_ 0.7070243):(-0.5721498_ 0.3565632_ 0.7385846),False:False,4.4700000:4.4100000,Good
3,99,03/15/2023 10:03:21.2232 PM,575.5612,(-1.7155480_ -0.0043267_ 1.1472110),(355.1144000_ 314.9238000_ 358.3145000),(0.0337301_ 0.3834873_ 0.0299080_ -0.9224454),0.5,(-2.0264790_ 0.1975929_ 1.6026730),(-2.1858050_ -0.1369227_ 1.9217120),(0.0983152_ 0.1580039_ 0.5570135),(0.2223001_ -0.2006000_ 0.8654000),10.00984,15.83666,14.4064,-13.0507,(0.7040861_ -0.0293068_ 0.7095097),(0.0810471_ 0.9959356_ -0.0392898),(-0.7054744_ 0.0851671_ 0.7035996),(-1.7451840_ -0.0041561_ 1.1336500):(-1.6982320_ -0.0065844_ 1.1785850),1:1,(-0.0103534_ 0.3814209_ 0.0139900_ -0.9242377):(0.1623940_ 0.3226228_ 0.0846886_ -0.9286391),(-0.7053367_ -0.0084658_ 0.7088218):(-0.5716944_ 0.3562558_ 0.7390854),False:False,4.4700000:4.4100000,Good
4,99,03/15/2023 10:03:21.2386 PM,575.5776,(-1.7187230_ -0.0049555_ 1.1513920),(355.0856000_ 315.1763000_ 358.3035000),(0.0339917_ 0.3814562_ 0.0300173_ -0.9232739),0.5,(-2.0275540_ 0.1976287_ 1.6080470),(-2.1856390_ -0.1371503_ 1.9279790),(0.0982140_ 0.1584188_ 0.5569633),(0.2223000_ -0.2006000_ 0.8654000),10.00064,15.87751,14.4064,-13.05069,(0.7071802_ -0.0294957_ 0.7064178),(0.0813612_ 0.9958870_ -0.0398667),(-0.7023364_ 0.0856680_ 0.7066714),(-1.7485080_ -0.0050438_ 1.1380800):(-1.7013880_ -0.0075420_ 1.1828340),1:1,(-0.0095996_ 0.3796492_ 0.0148688_ -0.9249613):(0.1632226_ 0.3206820_ 0.0852582_ -0.9291138),(-0.7026070_ -0.0064687_ 0.7115487):(-0.5680680_ 0.3579862_ 0.7410429),False:False,4.4700000:4.4100000,Good
5,99,03/15/2023 10:03:21.2571 PM,575.5949,(-1.7239370_ -0.0057047_ 1.1581990),(355.1108000_ 315.4642000_ 358.2852000),(0.0338025_ 0.3791409_ 0.0299969_ -0.9242347),0.5,(-2.0287430_ 0.1980734_ 1.6148190),(-2.1869550_ -0.1383565_ 1.9370390),(0.0982355_ 0.1600874_ 0.5546676),(0.2222999_ -0.2006000_ 0.8654001),10.04334,16.09913,14.40639,-13.05069,(0.7107048_ -0.0298165_ 0.7028583),(0.0810801_ 0.9959152_ -0.0397367),(-0.6988024_ 0.0852289_ 0.7102191),(-1.7521310_ -0.0054953_ 1.1434870):(-1.7047790_ -0.0079757_ 1.1879920),1:1,(-0.0092561_ 0.3776405_ 0.0150604_ -0.9257835):(0.1640640_ 0.3183194_ 0.0852321_ -0.9297802),(-0.6995056_ -0.0057635_ 0.7146039):(-0.5639670_ 0.3593491_ 0.7435116),False:False,4.4900000:4.4300000,Good
6,99,03/15/2023 10:03:21.2727 PM,575.611,(-1.7256540_ -0.0061883_ 1.1606930),(355.0137000_ 315.5520000_ 358.1565000),(0.0341844_ 0.3784697_ 0.0313286_ -0.9244516),0.5,(-2.0293240_ 0.1978804_ 1.6204610),(-2.1879980_ -0.1378315_ 1.9401040),(0.1000900_ 0.1595878_ 0.5565608),(0.2223000_ -0.2006000_ 0.8654000),10.19491,15.99967,14.4064,-13.0507,(0.7115585_ -0.0320480_ 0.7018957),(0.0837990_ 0.9956999_ -0.0394898),(-0.6976119_ 0.0869175_ 0.7111843),(-1.7551050_ -0.0061666_ 1.1479390):(-1.7075750_ -0.0087664_ 1.1922490),1:1,(-0.0089383_ 0.3757490_ 0.0161721_ -0.9265373):(0.1644583_ 0.3162152_ 0.0859840_ -0.9303592),(-0.6965799_ -0.0044100_ 0.7174656):(-0.5601059_ 0.3603894_ 0.7459228),False:False,4.4900000:4.4300000,Good
7,99,03/15/2023 10:03:21.2956 PM,575.6339,(-1.7289660_ -0.0066850_ 1.1660000),(354.9344000_ 315.7376000_ 358.1390000),(0.0348182_ 0.3769755_ 0.0316743_ -0.9250265),0.45,(-2.0518740_ 0.2008834_ 1.6107890),(-2.1889580_ -0.1371755_ 1.9469950),(0.0739909_ 0.1612205_ 0.5601113),(0.2223000_ -0.2006000_ 0.8654001),7.525226,16.05775,14.4064,-13.05069,(0.7137724_ -0.0323479_ 0.6996304),(0.0848502_ 0.9955689_ -0.0405346),(-0.6952190_ 0.0882963_ 0.7133543),(-1.7601220_ -0.0066101_ 1.1566300):(-1.7124300_ -0.0094946_ 1.2007810),1:0.9,(-0.0084777_ 0.3737781_ 0.0187701_ -0.9272895):(0.1670280_ 0.3374633_ 0.0890773_ -0.9221092),(-0.6935193_ -0.0016908_ 0.7204361):(-0.5925993_ 0.3681568_ 0.7164403),False:False,4.4900000:4.3900000,Good
8,99,03/15/2023 10:03:21.3117 PM,575.6498,(-1.7321490_ -0.0069297_ 1.1706020),(354.8014000_ 315.9859000_ 358.0607000),(0.0357056_ 0.3749934_ 0.0326651_ -0.9257635),0.45,(-2.0506750_ 0.2081119_ 1.6171110),(-2.1891850_ -0.1356696_ 1.9536210),(0.0755466_ 0.1676603_ 0.5596914),(0.2222999_ -0.2006000_ 0.8654001),7.687271,16.67603,14.40639,-13.05069,(0.7166258_ -0.0337015_ 0.6966431),(0.0872590_ 0.9953162_ -0.0416116),(-0.6919779_ 0.0906083_ 0.7162101),(-1.7631700_ -0.0066435_ 1.1612910):(-1.7156410_ -0.0096562_ 1.2055630),1:0.9,(-0.0048409_ 0.3728503_ 0.0205965_ -0.9276502):(0.1729199_ 0.3336505_ 0.0917173_ -0.9221518),(-0.6919488_ 0.0063776_ 0.7219183):(-0.5836334_ 0.3801198_ 0.7175521),False:False,4.5000000:4.3700000,Good
9,99,03/15/2023 10:03:21.3289 PM,575.6675,(-1.7349750_ -0.0073379_ 1.1762500),(354.6360000_ 316.1555000_ 358.0319000),(0.0369974_ 0.3736300_ 0.0333824_ -0.9262384),0.45,(-2.0511110_ 0.2099441_ 1.6243650),(-2.1900290_ -0.1336434_ 1.9608190),(0.0766691_ 0.1683789_ 0.5601164),(0.2223001_ -0.2006000_ 0.8653999),7.794244,16.73153,14.40641,-13.0507,(0.7185724_ -0.0341934_ 0.6946111),(0.0894867_ 0.9950336_ -0.0435915),(-0.6896708_ 0.0934822_ 0.7180636),(-1.7657960_ -0.0067168_ 1.1680710):(-1.7181150_ -0.0097345_ 1.2121790),1:0.9,(-0.0031297_ 0.3712072_ 0.0212883_ -0.9283007):(0.1747024_ 0.3318862_ 0.0921318_ -0.9224111),(-0.6893171_ 0.0099941_ 0.7243908):(-0.5800797_ 0.3834495_ 0.7186612),False:False,4.5000000:4.3700000,Good
10,99,03/15/2023 10:03:21.3457 PM,575.6842,(-1.7378960_ -0.0078804_ 1.1818420),(354.4494000_ 316.3263000_ 357.9586000),(0.0383192_ 0.3722705_ 0.0345232_ -0.9266901),0.5,(-2.0506410_ 0.2114790_ 1.6316120),(-2.1911000_ -0.1315897_ 1.9678930),(0.0784196_ 0.1688769_ 0.5599579),(0.2223000_ -0.2006000_ 0.8654000),7.972165,16.78271,14.4064,-13.0507,(0.7204456_ -0.0354544_ 0.6926046),(0.0925149_ 0.9946796_ -0.0453161),(-0.6873130_ 0.0967240_ 0.7198926),(-1.7693200_ -0.0073742_ 1.1732620):(-1.7214650_ -0.0104005_ 1.2171340),1:1,(-0.0013832_ 0.3694124_ 0.0219820_ -0.9290045):(0.1766851_ 0.3280881_ 0.0925942_ -0.9233455),(-0.6864324_ 0.0136709_ 0.7270651):(-0.5731573_ 0.3870408_ 0.7222812),False:False,4.4900000:4.4000000,Good
