frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.15,"[0.0066463, -0.0138307, 0.1901196]","[-0.2222001, 0.1987, 0.8645003]",1.50371,-4.330812,-14.41456,12.94426,False,1.08011868525651,-2.332554627743971,19
1,99,0.01670000000001437,0.17,"[0.0075191, -0.0137911, 0.1902056]","[-0.2222001, 0.1987, 0.8645]",1.030638,-4.37393,-14.41456,12.94427,False,0.6283234845076746,-2.21426919686199,19
2,99,0.03350000000000364,0.17,"[0.0071671, -0.0138557, 0.1902131]","[-0.2221999, 0.1987, 0.8645002]",1.663991,-4.723113,-14.41455,12.94426,False,1.2763290442069408,-2.9118098026559003,19
3,99,0.050199999999989586,0.17,"[0.0078736, -0.013355, 0.1899645]","[-0.2222, 0.1987, 0.8645]",1.479971,-4.337694,-14.41456,12.94427,False,1.05794757368837,-2.3328710455532202,19
4,99,0.06680000000000064,0.17,"[0.0078614, -0.014052, 0.1900703]","[-0.2221999, 0.1987, 0.8645002]",0.9098463,-4.61637,-14.41455,12.94426,False,0.5374993583575305,-2.49072561858921,19
5,99,0.08340000000001169,0.15,"[0.0085758, -0.013445, 0.1900129]","[-0.2222, 0.1987, 0.8645007]",0.655547,-4.778921,-14.41455,12.94426,False,0.30941286160200976,-2.61181868646687,19
6,99,0.10020000000000095,0.15,"[0.0089526, -0.0133175, 0.1898036]","[-0.2221999, 0.1987, 0.8645002]",0.5786266,-5.067514,-14.41455,12.94426,False,0.2658036630044982,-2.965698374163868,19
7,99,0.11750000000000682,0.17,"[-0.0342667, 0.0051879, 0.1916515]","[-0.2222001, 0.1987, 0.8645004]",0.2486168,-5.225422,-14.41455,12.94426,False,-0.03581197638579514,-3.052565075172415,19
8,99,0.13419999999999277,0.17,"[-0.0353368, 0.006248, 0.1913976]","[-0.2222001, 0.1987, 0.8645]",0.320718,-5.383455,-14.41456,12.94427,False,0.05049680823712688,-3.2887037222933935,19
9,99,0.150100000000009,0.12,"[-0.0380569, 0.0103602, 0.1916962]","[-0.2222, 0.1987, 0.8645005]",-0.04335432,-5.193971,-14.41455,12.94426,False,-0.3208069067138387,-2.9026252046328342,19
10,99,0.16689999999999827,0.12,"[-0.0381938, 0.0101508, 0.1916331]","[-0.2222001, 0.1987, 0.8645]",-0.1476433,-5.330679,-14.41456,12.94427,False,-0.40692014805042065,-3.045099952529172,19
11,99,0.18350000000000932,0.45,"[0.0056093, -0.0127798, 0.1897162]","[-0.2222001, 0.1987, 0.8645005]",-0.5826765,-5.383605,-14.41455,12.94426,False,-0.8209800354786891,-2.953915813467782,19
12,99,0.19999999999998863,0.45,"[0.0056378, -0.0120315, 0.1895329]","[-0.2222, 0.1987, 0.8644999]",-0.5584463,-4.875622,-14.41456,12.94427,False,-0.8514587865356167,-2.289793667763997,19
13,99,0.21659999999999968,0.45,"[0.0061853, -0.0098599, 0.1899227]","[-0.2222001, 0.1987, 0.8645002]",-0.9762596,-4.677135,-14.41456,12.94426,False,-1.2755601592604942,-1.8718580227741337,19
14,99,0.23320000000001073,0.45,"[0.006071, -0.0097973, 0.1897779]","[-0.2222, 0.1987, 0.8645]",-1.251631,-4.976781,-14.41455,12.94427,False,-1.5094406445899924,-2.166796190804209,19
15,99,0.2504999999999882,0.45,"[0.0067445, -0.009314, 0.189837]","[-0.2222001, 0.1987, 0.8645001]",-1.506624,-4.825356,-14.41456,12.94427,False,-1.7714821933359954,-1.871595630299748,19
16,99,0.26679999999998927,0.45,"[0.0065414, -0.0096688, 0.1900114]","[-0.2222, 0.1987, 0.8645003]",-1.956282,-5.044732,-14.41455,12.94426,False,-2.182004403459286,-1.9955443836696687,19
17,99,0.283299999999997,0.45,"[0.0062262, -0.0118271, 0.1893953]","[-0.2222001, 0.1987, 0.8645002]",-2.324635,-4.827992,-14.41456,12.94426,False,-2.560327151216466,-1.5717627722409673,19
18,99,0.3001000000000147,0.45,"[0.0054843, -0.0119704, 0.1894804]","[-0.2222001, 0.1987, 0.8645003]",-2.407687,-4.515511,-14.41455,12.94426,False,-2.6735736768495686,-1.1269109197396436,19
19,99,0.3170000000000073,0.45,"[0.0049694, -0.0143363, 0.1893046]","[-0.2222001, 0.1987, 0.8644999]",-2.698431,-4.534884,-14.41457,12.94427,False,-2.9519967656504607,-1.0447708219429566,19
20,99,0.3382000000000005,0.45,"[0.0034006, -0.0144584, 0.1890286]","[-0.2222, 0.1987, 0.8645002]",-2.82015,-4.32485,-14.41455,12.94426,False,-3.0916840203176843,-0.7213291168927811,19
21,99,0.3499999999999943,0.45,"[0.0054946, -0.0156272, 0.1891424]","[-0.2222001, 0.1987, 0.8645001]",-3.137566,-4.370723,-14.41456,12.94426,False,-3.3930278645891088,-0.664412841648947,19
22,99,0.36650000000000205,0.45,"[0.0048913, -0.0143602, 0.1893184]","[-0.2221998, 0.1987, 0.8644999]",-3.436983,-4.684033,-14.41455,12.94427,False,-3.6486562475731565,-0.9685402805875252,19
23,99,0.3832999999999913,0.45,"[0.0029995, -0.0152507, 0.1888736]","[-0.2222001, 0.1987, 0.8645003]",-3.735529,-4.833776,-14.41456,12.94426,False,-3.9207847787829726,-1.0562549385581952,19
24,99,0.39990000000000236,0.45,"[0.0021597, -0.0157798, 0.1887488]","[-0.2221999, 0.1987, 0.8645002]",-4.335361,-5.00348,-14.41455,12.94427,False,-4.4814437907715465,-1.0586995660111804,19
25,99,0.41669999999999163,0.45,"[0.0019044, -0.0167218, 0.1885721]","[-0.2222001, 0.1987, 0.8645001]",-4.483859,-5.043242,-14.41456,12.94426,False,-4.6204825223177535,-1.0563221493748247,19
26,99,0.43319999999999936,0.45,"[0.0008188, -0.0172563, 0.1886868]","[-0.2222, 0.1987, 0.8645002]",-5.149223,-5.432583,-14.41455,12.94426,False,-5.221074794541421,-1.3254986871872627,19
27,99,0.45019999999999527,0.45,"[0.0010559, -0.0177758, 0.1886296]","[-0.2222002, 0.1987, 0.8645005]",-5.805599,-5.034101,-14.41456,12.94426,False,-5.896516722077205,-0.554096917039034,19
