frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,1.0,"[-0.224421, 0.1624304, 2.776111]","[-0.7574576, 0.3784297, 6.325854]",-5.220668,3.873644,-6.828086,3.423508,False,-4.536371720050127,2.450227632977551,4
1,99,0.01670000000001437,1.0,"[-0.2114033, 0.1609687, 2.655839]","[-0.7668658, 0.3850001, 6.324244]",-6.958055,4.850088,-6.913825,3.483688,False,-6.205810187051837,3.4681274927988097,4
2,99,0.03340000000002874,0.5,"[-0.2425963, 0.1780202, 2.657673]","[-0.7677319, 0.3927147, 6.323044]",-6.534246,5.235469,-6.922857,3.553989,False,-5.727368643994682,3.9226145753445154,4
3,99,0.05009999999992942,0.5,"[-0.2438475, 0.176371, 2.657645]","[-0.7703068, 0.4022439, 6.322176]",-6.553147,5.27241,-6.946794,3.640495,False,-5.742525058081734,3.963350061434215,4
4,99,0.0666999999999689,0.5,"[-0.2428066, 0.1799335, 2.657374]","[-0.7720904, 0.4082066, 6.321474]",-6.601873,5.180449,-6.963486,3.694721,False,-5.802973923263606,3.8573899460146013,4
5,99,0.088799999999992,0.5,"[-0.0312443, 0.0217235, 0.2560136]","[-0.7708964, 0.4131225, 6.321249]",-6.656748,5.221664,-6.953069,3.739224,False,-5.854518115131151,3.9012322672999806,4
6,99,0.10040000000003602,0.9,"[-0.2225695, 0.1780526, 1.943141]","[-0.7700474, 0.4177257, 6.321305]",-6.65637,5.220659,-6.945425,3.780733,False,-5.854245403357549,3.9001175609812995,4
7,99,0.11659999999994852,0.9,"[-0.223213, 0.1793112, 1.943089]","[-0.7647864, 0.4194449, 6.321954]",-6.567348,5.540138,-6.89773,3.79586,False,-5.7265092880410755,4.264415277577671,4
8,99,0.13400000000001455,0.9,"[-0.2340146, 0.1833162, 2.02195]","[-0.7610117, 0.4233215, 6.322052]",-6.559496,5.510123,-6.863906,3.830779,False,-5.721887960195696,4.2309604255574795,4
9,99,0.15030000000001564,0.9,"[-0.2359454, 0.1847578, 2.021677]","[-0.7636532, 0.4254972, 6.321734]",-6.512753,5.595359,-6.887845,3.850601,False,-5.664239758103188,4.329246925393595,4
10,99,0.16689999999994143,0.9,"[-0.2359959, 0.1847722, 2.022226]","[-0.7564168, 0.4305022, 6.322005]",-6.882413,5.833038,-6.822905,3.89559,False,-6.016025469947271,4.57954785159548,4
11,99,0.183400000000006,0.9,"[-0.2392905, 0.2016065, 2.078501]","[-0.754012, 0.4309191, 6.322034]",-6.898605,5.883871,-6.801385,3.899332,False,-6.026818596382844,4.636068965357693,4
12,99,0.20010000000002037,0.9,"[-0.2390149, 0.2005185, 2.078614]","[-0.7508261, 0.4323027, 6.322195]",-6.86808,5.885908,-6.772745,3.911715,False,-5.995295746112399,4.639815847730567,4
13,99,0.21669999999994616,0.9,"[-0.2198333, 0.1886533, 1.925641]","[-0.7520813, 0.4303488, 6.322411]",-7.175069,6.27864,-6.783732,3.893957,False,-6.265133310576688,5.067847048915308,4
14,99,0.23339999999996053,1.0,"[-0.455144, 0.385222, 3.770812]","[-0.7453637, 0.430468, 6.323043]",-7.643238,6.613296,-6.723031,3.894644,False,-6.706823431135337,5.422762052062986,4
15,99,0.2502999999999247,1.0,"[-0.4561485, 0.3885373, 3.770178]","[-0.7490629, 0.4356166, 6.322408]",-7.617478,6.600585,-6.756762,3.941475,False,-6.681869160428663,5.409660821720939,4
16,99,0.26670000000001437,1.0,"[-0.4541401, 0.388698, 3.770423]","[-0.7390946, 0.4295527, 6.324218]",-7.560263,6.513611,-6.665769,3.885669,False,-6.63315168364921,5.3143574923719035,4
17,99,0.28340000000002874,1.0,"[-0.3979563, 0.3478079, 3.16121]","[-0.7457201, 0.4228438, 6.324104]",-7.660279,6.490158,-6.725099,3.825231,False,-6.738353186268236,5.283170439329482,4
18,99,0.300200000000018,1.0,"[-0.3442864, 0.2974461, 2.565537]","[-0.7422647, 0.4184892, 6.324068]",-7.529296,6.67131,-6.694259,3.785975,False,-6.583400175337571,5.4935627683135175,4
