frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.7,"[0.0447654, -0.0046061, 0.3140278]","[0.220828, 0.1199031, 1.080482]",8.140528,-1.144024,11.55099,6.332311,False,8.092953662912,-0.23727840162748892,14
1,99,0.018000000000029104,0.7,"[0.0444792, -0.0046959, 0.3139966]","[0.2208281, 0.1199031, 1.080482]",8.120613,-1.168357,11.55098,6.332311,False,8.072084567937852,-0.26528684175546813,14
2,99,0.03399999999987813,0.8,"[0.045109, -0.0065493, 0.3156754]","[0.220828, 0.1199031, 1.080482]",7.130274,-1.410029,11.55098,6.332312,False,7.100097014656015,-0.524272069577391,14
3,99,0.049999999999954525,0.8,"[0.0449652, -0.0065653, 0.3155971]","[0.2208282, 0.1199031, 1.080482]",7.188897,-1.403884,11.55099,6.33231,False,7.157079210181395,-0.5184966024236803,14
4,99,0.06700000000000728,0.35,"[0.0450182, -0.006651, 0.315601]","[0.2208281, 0.1199031, 1.080482]",7.537846,-1.45768,11.55099,6.332312,False,7.490120886453736,-0.589933929825857,14
5,99,0.08400000000006003,0.35,"[0.0449628, -0.0067139, 0.3155497]","[0.220828, 0.1199031, 1.080482]",7.53844,-1.476243,11.55098,6.332312,False,7.489432742449361,-0.611683083475921,14
6,99,0.1009999999998854,0.4,"[0.0449733, -0.0065327, 0.3156608]","[0.2208281, 0.1199031, 1.080482]",7.629574,-1.276324,11.55099,6.33231,False,7.590950665124569,-0.37981160761871524,14
7,99,0.11799999999993815,0.4,"[0.045047, -0.006725, 0.3155871]","[0.220828, 0.1199031, 1.080482]",7.578085,-1.357181,11.55098,6.332311,False,7.535775578298055,-0.47323749774340973,14
8,99,0.13400000000001455,0.35,"[0.0451149, -0.0066205, 0.3156071]","[0.2208281, 0.1199031, 1.080482]",7.610497,-1.312507,11.55098,6.33231,False,7.570084982724117,-0.4217150916044581,14
9,99,0.1510000000000673,0.35,"[0.0450512, -0.0065023, 0.3155557]","[0.2208281, 0.1199031, 1.080482]",7.588413,-1.318677,11.55099,6.332311,False,7.548357153650868,-0.4284045870513826,14
10,99,0.16799999999989268,0.35,"[0.0449764, -0.006414, 0.3156187]","[0.220828, 0.1199031, 1.080482]",7.557814,-1.307406,11.55098,6.332312,False,7.519598350071657,-0.4144668402112539,14
11,99,0.18399999999996908,0.35,"[0.0451332, -0.0064948, 0.3155485]","[0.2208281, 0.1199031, 1.080482]",7.549658,-1.317686,11.55099,6.332309,False,7.51103023018839,-0.426305844681212,14
12,99,0.20100000000002183,0.35,"[0.0452057, -0.0065083, 0.3156487]","[0.2208281, 0.1199031, 1.080482]",7.542526,-1.286706,11.55099,6.332313,False,7.506253622085179,-0.38985974660541545,14
13,99,0.22499999999990905,0.35,"[0.0452645, -0.0062666, 0.3154024]","[0.2208281, 0.1199031, 1.080482]",7.555068,-1.344801,11.55099,6.33231,False,7.514407912686259,-0.4581848522295102,14
