Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
participant-001,"[[1.2411713933973891, 1.2564739980841748], [0.4965894021581005, 0.8887781005098333], [1.07021297258245, 0.7731010640932259]]",0.2732807714260791,0,"[[0.7136266513935997, 1.8607678950083182], [0.3090880585030035, 0.9326081823783499], [0.5946274894907821, 1.5744122996374743]]",0.2041694596994608,0,"[[1.372849332936846, 1.0815315969644113], [0.36722661996061806, 0.7355956503485056], [1.2723084582195026, 0.6865809739032709]]",0.3071782376042209,5,"[[1.6474704115667806, 1.8927730164818792], [0.9588607401869873, 1.243829248930099], [1.1642134251520626, 1.1681202410841662]]",0.4302420448211384,18,"[[1.838766753346652, 1.7764703410046625], [0.9547443281787156, 1.0729481869377087], [1.3665174006148049, 1.1735372791696232]]",0.6633920962506121,12,"[[0.604176447943341, 1.3875544718659565], [0.2667497337657768, 0.6348057113257027], [0.4817257522028758, 1.1703609297377213]]",0.7764061062994042,0,"[0.3328302025099176, 2.026105226333142e-55]","[0.12528533791765717, 8.589286704877037e-09]"
participant-002,"[[2.4662782349888865, 2.533650814087929], [1.5640941952147323, 1.3343122281481494], [1.6670817513241316, 1.869315602962963]]",0.5390960837720543,0,"[[2.9176046628337353, 3.224797116919971], [1.922076413975962, 2.008392655692963], [1.6459028051728686, 2.032285650817339]]",0.35740407794654977,29,"[[1.3236987882566544, 1.6169811547578903], [0.8245782821871552, 0.7321823371796147], [0.8942272927235997, 1.3510186759173213]]",0.38134942019666834,5,"[[2.9825474307553144, 3.406780866735329], [2.2432483982084888, 2.216722177631581], [1.493362023120503, 1.9699708599415175]]",0.731704338209769,0,"[[2.857912895750178, 2.917977692159367], [1.8186935473116643, 1.9095515436314552], [1.9087449246792099, 1.8965334270860421]]",0.635221088068649,4,"[[1.3379346916397872, 1.7298263918757932], [0.8148570726943085, 0.9677607635890745], [0.9114580908972119, 1.3020422997624694]]",0.9652020400845611,0,"[0.5818970359156748, 4.902802896708397e-191]","[0.5846649515415476, 2.8412194664457895e-193]"
participant-003,"[[1.345614358862968, 2.5761771548285157], [0.5557368834490044, 0.9049720870806578], [1.1224304895161548, 2.2546936324054254]]",0.5662837413585667,0,"[[1.5376883686103866, 2.8264194310558843], [0.9123158430908292, 1.173987517350864], [1.0881028501465526, 2.500195437356318]]",0.3083506395054459,0,"[[1.5761649516953489, 2.921090889649015], [0.6926485346389692, 0.8019781351249998], [1.3088882116356304, 2.687642522451871]]",0.6437949924049923,3,"[[1.8772728636353215, 3.4771330421714413], [0.8329190581899795, 1.0014573124550041], [1.5029658014427376, 3.1475403225341916]]",0.756772594050289,0,"[[1.4414149245932426, 2.8650988753533304], [0.7759502022254103, 0.8282469082108938], [1.073294304295608, 2.5949281428009754]]",0.688185425158052,8,"[[1.4081516576754376, 3.4622994668884393], [0.6388610599616671, 0.7512012495477759], [1.188454764311683, 3.2769085757521337]]",1.940981161365972,0,"[0.6572506045806246, 1.0736382872568729e-261]","[0.6013656953535932, 4.063328624079794e-208]"
participant-004,"[[3.7173937084154027, 3.834358383808744], [2.2965990883030027, 2.173988140949889], [2.394168505281728, 2.6288870562634052]]",0.8157948960655211,0,"[[3.1003955550865534, 3.374211921886485], [1.7322727767080788, 1.701140941032998], [2.276025222897271, 2.545782372311767]]",0.3665417385059711,0,"[[2.7479193701982934, 3.0173040637693496], [1.6202031387403006, 1.5900271445514977], [1.7906687841859503, 2.0830693228926522]]",0.7390130077382842,8,"[[11.058145326869537, 11.582819041226081], [7.199848471821036, 7.134484971770224], [7.25612909501927, 7.901964026987288]]",2.5507604476043673,18,"[[13.541655980501615, 14.515809859866115], [10.796174032302384, 10.689363096154752], [6.824358745840531, 8.06607807647759]]",3.212108714470101,20,"[[4.194945353958786, 4.22850729477415], [2.325974255323058, 2.120227204342888], [3.0949858692845003, 3.2718956266129173]]",2.3262344880321417,0,"[-0.5661345648393019, 7.821303911742802e-175]","[-0.5721548531003734, 2.2963602554994368e-179]"
participant-005,"[[0.8398041752612156, 0.8939584228298817], [0.520281441657298, 0.49525714428571405], [0.5773459067393625, 0.6138866914285704]]",0.19645245104113315,0,"[[0.9315843743504936, 0.7753165122595522], [0.49100453861022925, 0.5393686123642253], [0.6789566105076305, 0.43015161370373584]]",0.0862502174625,3,"[[16.590244263848913, 16.492353196891976], [14.784080241916449, 14.707330160574214], [6.393433999504991, 6.435555215389402]]",7.105889942493529,6,"[[2.729039994956194, 2.3014085860126463], [1.6679034551051384, 1.4530440155440412], [1.8231365572470126, 1.483293676180607]]",0.49268710545831806,12,"[[2.129947171496132, 2.3567258290635906], [1.215317105093459, 1.0960345696532714], [1.4736777300762303, 1.8578778514580845]]",0.5907641209007534,11,"[[1.1363721758533796, 1.2568818544500633], [0.7537694231139244, 0.7112130864879801], [0.6397433180886583, 0.827151817195912]]",0.6861790368912357,0,"[-0.009414561279062289, 0.6697204639041842]","[-0.09751588409036191, 9.49045188349767e-06]"
participant-006,"[[1.805438745120468, 1.9846803493842002], [0.3075815807954804, 0.49709323293455293], [1.7459706450943673, 1.8561453587107697]]",0.4435975795559524,0,"[[1.1344068624985708, 1.2320720110267154], [0.44348450015915225, 0.49260276528460856], [0.9891145099960476, 1.0667151264919172]]",0.1382781940850925,0,"[[1.6027799865201826, 1.6861973210470136], [0.475619274321091, 0.5663616970452959], [1.4789246466509878, 1.5178872802947718]]",0.4034926332378634,5,"[[2.4066255449704244, 2.4090970323934155], [0.9840126546194559, 1.0437034520643815], [2.0476077528131076, 2.0009408514345686]]",0.5392234600306441,0,"[[1.4348929746367822, 1.5275823212771238], [0.7385835477843606, 0.7722848082573017], [1.0857329542018062, 1.1707494337746869]]",0.4830536769389641,14,"[[0.9723481353806721, 1.4281079622770716], [0.22178372820152356, 0.3624849790328363], [0.9037527687061991, 1.3317368693097003]]",0.8189235940628224,0,"[0.49741206836401264, 2.1272796302402564e-134]","[0.3803807045720087, 9.113310126963951e-75]"
participant-007,"[[2.4660650974123732, 3.955509308035317], [2.2513201210210947, 3.203334608484005], [0.7395137603398064, 1.8818277461752475]]",0.8952407086720048,0,"[[3.5235426970060213, 3.411626802473844], [3.4284907836077987, 1.4321228649336126], [0.5498879818355874, 2.6191980013976255]]",0.4098753454658255,26,"[[3.4428673078017855, 2.7306763425411753], [3.389255440407541, 0.44221224215572585], [0.5042980720411356, 2.673886332747002]]",0.6409672627396479,6,"[[2.80057731600294, 4.586830439596305], [2.5291328721288147, 3.8777301946564915], [0.8118975745121337, 1.7720268001387882]]",1.04308549624268,24,"[[3.270699144869397, 3.3366673894681824], [2.9568324228932545, 0.7521869065460894], [1.1762447549883737, 3.168291593032819]]",0.8100960512729256,15,"[[2.5180032171451376, 4.114802914084335], [2.416162941519954, 3.2098698383098836], [0.49578755562325477, 1.9478588015330853]]",2.368644064064554,14,"[0.6243590391685838, 2.8070922912329037e-232]","[0.15583253536795683, 3.89632832976001e-13]"
participant-008,"[[1.1963391858432206, 3.2847311138891992], [0.9963172575293675, 1.355191599441728], [0.5387759402470383, 2.8694137592463407]]",0.7414152238013665,13,"[[1.1903669937022847, 2.7543692368284307], [0.5487958219574436, 1.0846560516312067], [0.9969216586453075, 2.469924154712623]]",0.30496543151938743,0,"[[1.3062207503861618, 3.7862813442593195], [1.0546516076574313, 1.6039293106943449], [0.6407721546094466, 3.369418635046525]]",0.8555523085956521,7,"[[2.03238050432899, 3.383029096225842], [1.4230882234391813, 1.6682243910301364], [1.0895978469442191, 2.8063702208829713]]",0.7645418834554725,28,"[[1.5730532306283997, 3.960187495190267], [0.9537633601060043, 1.1801829095392713], [1.035218628152885, 3.664998212238429]]",0.9500551967975543,12,"[[0.9489102995470526, 3.010197125621862], [0.8201030620880934, 1.36764020080789], [0.3695022834760963, 2.5101422646453795]]",1.7059988755090565,0,"[0.4275726520037181, 2.274640544174641e-95]","[0.3315315698373218, 8.653039458773391e-56]"
participant-009,"[[4.939158126862637, 2.492744647886066], [3.607452993275023, 1.4525258790412878], [3.0884281720424203, 1.8942834118825052]]",0.5634127241990838,0,"[[2.1146250607802037, 0.7449196236510136], [0.8624498381297473, 0.36231559218315235], [1.831703691678251, 0.5592469262906721]]",0.08140308893955375,2,"[[2.0938615635774953, 0.7979534461189607], [1.4183196257135011, 0.37440640150211346], [1.3612180921821666, 0.619115908630282]]",0.3471162618902728,5,"[[5.018198056344357, 2.925771264534328], [3.8675069465549377, 1.8870898291392604], [2.7108248874439727, 1.962774082512248]]",0.6642681150717118,9,"[[2.437629292711065, 1.6576667226320891], [1.3201692120742083, 1.0197506082926835], [1.8527311889322726, 1.0734838051582587]]",0.5638410854242348,12,"[[5.109946861179143, 4.2475159399102465], [3.875091861657046, 2.920505887028288], [2.4814134573033075, 2.420254294376229]]",2.4457611476507255,0,"[-0.05202569286380247, 0.01576774078535284]","[-0.01727551908276461, 0.42302409066797597]"
participant-010,"[[1.6343943330496957, 1.477380218323975], [0.4158360442057976, 0.7554677620376821], [1.5537140184400866, 1.0465702519190503]]",0.3374401023953105,0,"[[1.388115249152354, 1.8981733750570648], [0.868637464809123, 0.9220180649193866], [0.9561291252256555, 1.4900978186889828]]",0.21565231179190697,6,"[[1.2643286440371724, 1.554348365050131], [0.4622847566171394, 0.5191430527352933], [1.083097846182164, 1.3550933660504174]]",0.39340939329218205,6,"[[3.1383407453061976, 1.5606162701007928], [0.9813049153047487, 0.8168909355509362], [2.797912359169118, 1.172152277893281]]",0.35162931321919544,0,"[[1.5513707528868907, 1.7706120609848377], [0.6935524179067105, 0.6944878143309079], [1.2432428441365218, 1.5064289444307]]",0.4848669226048329,14,"[[1.5338698286963437, 2.287021993096545], [0.4955043247093637, 0.6376197175708493], [1.3982450003479543, 2.0953451938228254]]",1.3310118393584491,16,"[-0.6500138384215326, 1.0739165880974169e-257]","[-0.8107657636565129, 0.0]"
