frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.52,"[-0.9154363, 0.2159383, 2.680073]","[-0.2573999, 0.0026, 0.9078]",-19.03101,4.687304,-15.83029,0.1640977,False,-17.79235722432222,4.435573259441895,8
1,99,0.01670000000001437,0.52,"[-0.9217442, 0.2159505, 2.680046]","[-0.2574, 0.0026, 0.9077999]",-18.92388,4.622925,-15.8303,0.1640982,False,-17.68843050435927,4.391975698485185,8
2,99,0.03340000000000032,0.52,"[-0.9231392, 0.2163259, 2.679454]","[-0.2574, 0.0026, 0.9078001]",-18.94702,4.597335,-15.83029,0.1640968,False,-17.709601185860738,4.366655318756997,8
3,99,0.05010000000001469,0.52,"[-0.9244305, 0.2221815, 2.680387]","[-0.2573999, 0.0026, 0.9077999]",-19.01865,4.621747,-15.83029,0.1640981,False,-17.778486722714426,4.3794172289494195,8
4,99,0.0665000000000191,0.52,"[-0.9265115, 0.2214393, 2.679685]","[-0.2574001, 0.0026, 0.9078001]",-19.06758,4.60577,-15.8303,0.1640974,False,-17.824485912213472,4.359416071638852,8
5,99,0.08330000000000837,0.52,"[-0.9303391, 0.2200218, 2.679405]","[-0.2574, 0.0026, 0.9078001]",-19.10101,4.630063,-15.83029,0.1640976,False,-17.857052279345545,4.376717778190805,8
6,99,0.09999999999999432,0.52,"[-0.9305708, 0.2209206, 2.679221]","[-0.2574, 0.0026, 0.9078001]",-19.11809,4.645185,-15.83029,0.1640989,False,-17.873778691390537,4.387941270082635,8
7,99,0.11660000000000537,0.52,"[-0.9236272, 0.2189213, 2.680066]","[-0.2573999, 0.0026, 0.9078]",-19.1256,4.742524,-15.83029,0.1640987,False,-17.88406640277604,4.472639929881754,8
8,99,0.13320000000001642,0.52,"[-0.9243338, 0.2197176, 2.679748]","[-0.2574001, 0.0026, 0.9078]",-19.16288,4.721289,-15.8303,0.1640991,False,-17.91882031067008,4.4494306869222,8
9,99,0.15000000000000568,0.52,"[-0.9187757, 0.2166972, 2.679879]","[-0.2573999, 0.0026, 0.9078]",-19.21792,4.830799,-15.83029,0.1640991,False,-17.97468667377718,4.539055177147324,8
10,99,0.16679999999999495,0.52,"[-0.9198062, 0.2154505, 2.679357]","[-0.2574001, 0.0026, 0.9078001]",-19.22288,4.831443,-15.8303,0.1640981,False,-17.979422790397393,4.53901853878229,8
11,99,0.18360000000001264,0.52,"[-0.9238368, 0.2166663, 2.680182]","[-0.2574, 0.0026, 0.9078001]",-19.22879,4.778327,-15.83029,0.1640985,False,-17.983323278096638,4.4915833195455885,8
12,99,0.20019999999999527,0.52,"[-0.9261153, 0.2158481, 2.679365]","[-0.2573999, 0.0026, 0.9078001]",-19.26681,4.848072,-15.83029,0.1640977,False,-18.021723240862396,4.548302973922843,8
13,99,0.21690000000000964,0.52,"[-0.928148, 0.2170576, 2.680179]","[-0.2574001, 0.0026, 0.9078001]",-19.27854,4.865362,-15.8303,0.164099,False,-18.033433726236346,4.562083735969929,8
14,99,0.23349999999999227,0.52,"[-0.9289162, 0.2177398, 2.679813]","[-0.2574002, 0.0026, 0.9078001]",-19.27908,4.841139,-15.83031,0.1640977,False,-18.03316364016025,4.5407134313557584,8
15,99,0.2504000000000133,0.52,"[-0.9295347, 0.2223771, 2.680463]","[-0.2574001, 0.0026, 0.9078003]",-16.83525,4.309472,-15.8303,0.164097,False,-15.69270954969087,4.370228327314253,8
16,99,0.26670000000001437,0.52,"[-0.9312678, 0.2213243, 2.679826]","[-0.2574001, 0.0026, 0.9077999]",-16.82796,4.324147,-15.8303,0.1640987,False,-15.686253850745535,4.384021643661877,8
17,99,0.2831999999999937,0.52,"[-0.9343795, 0.2265366, 2.680472]","[-0.2574001, 0.0026, 0.9078002]",-14.79126,4.134992,-15.8303,0.164098,False,-13.743920985712737,4.465283249279485,8
18,99,0.3001000000000147,0.52,"[-0.9345894, 0.2265548, 2.680328]","[-0.2574, 0.0026, 0.9078001]",-14.78296,4.116489,-15.83029,0.1640975,False,-13.73543204188231,4.4500185989337115,8
19,99,0.3329999999999984,0.52,"[-0.9347731, 0.2240222, 2.679966]","[-0.2574, 0.0026, 0.9078003]",-15.01814,4.17424,-15.83029,0.1640969,False,-13.96087677063711,4.472218025530644,8
20,99,0.3463000000000136,0.52,"[-0.9371337, 0.2273963, 2.681012]","[-0.2574001, 0.0026, 0.9078003]",-14.98429,4.136504,-15.8303,0.1640972,False,-13.927476338421341,4.443143975826283,8
21,99,0.359800000000007,0.52,"[-0.9376872, 0.2281959, 2.680833]","[-0.2574, 0.0026, 0.9078001]",-14.96601,4.306911,-15.83029,0.1640983,False,-13.915609691776464,4.595243132594208,8
22,99,0.3760000000000048,0.52,"[-0.9376288, 0.2270334, 2.680585]","[-0.2574, 0.0026, 0.9078001]",-14.9706,4.30122,-15.83029,0.1640975,False,-13.919789170360616,4.589679710956391,8
23,99,0.39289999999999736,0.52,"[-0.810334, 0.201805, 2.677999]","[-0.2574001, 0.0026, 0.9078003]",-14.90015,4.217598,-15.83029,0.1640974,False,-13.85011038779819,4.524697863546631,8
24,99,0.4093000000000018,0.52,"[-0.8098394, 0.2024642, 2.677595]","[-0.2574001, 0.0026, 0.9078]",-14.84109,4.209731,-15.8303,0.1640986,False,-13.793709797592824,4.524959342389381,8
25,99,0.42609999999999104,0.35,"[-0.7069273, 0.1935523, 2.677266]","[-0.2574, 0.0026, 0.9078001]",-14.93757,4.079638,-15.83029,0.1640989,False,-13.881222154097477,4.398809448751271,8
26,99,0.4427000000000021,0.35,"[-0.7064496, 0.1926661, 2.677027]","[-0.2573999, 0.0026, 0.9077998]",-14.96871,4.132377,-15.83029,0.1640992,False,-13.912531531722928,4.441408449064442,8
27,99,0.45940000000001646,0.6,"[-0.7182095, 0.1953769, 2.677004]","[-0.2574, 0.0026, 0.9078]",-14.98496,4.035172,-15.83029,0.1640993,False,-13.924835903635783,4.3539388400230195,8
28,99,0.4761000000000024,0.6,"[-0.7165787, 0.1936218, 2.677244]","[-0.2574, 0.0026, 0.9078002]",-14.9568,4.031824,-15.83029,0.1640976,False,-13.897956953453983,4.354417970989454,8
29,99,0.49260000000001014,0.3,"[-0.7158275, 0.2016739, 2.677858]","[-0.2574, 0.0026, 0.9078]",-15.43604,-0.6457641,-15.83029,0.1640999,False,-14.20226547764552,0.18211124521449706,8
30,99,0.5092999999999961,0.3,"[-0.7160693, 0.2014098, 2.677902]","[-0.2574001, 0.0026, 0.9078001]",-15.4298,-0.6747317,-15.8303,0.1640976,False,-14.195396442934788,0.15739229351852346,8
31,99,0.5260000000000105,0.6,"[-0.7124301, 0.1974487, 2.677481]","[-0.2574, 0.0026, 0.9078]",0.5272674,-2.339064,-15.83029,0.1640986,False,1.0282242116743998,0.6336796633986688,8
32,99,0.5426999999999964,0.6,"[-0.7096287, 0.1971216, 2.678058]","[-0.2574001, 0.0026, 0.9078001]",0.5296006,-2.317825,-15.8303,0.1640987,False,1.0297553656763418,0.6526434978866615,8
33,99,0.5593000000000075,0.6,"[-0.7143933, 0.190992, 2.67782]","[-0.2573999, 0.0026, 0.9077998]",0.6416132,-2.228702,-15.83029,0.1640991,False,1.1333590798892614,0.7446478901177531,8
34,99,0.5759999999999934,0.6,"[-0.7158027, 0.1934291, 2.67726]","[-0.2574001, 0.0026, 0.9078002]",0.6265427,-2.196412,-15.8303,0.1640968,False,1.1179877605547959,0.7712153280381675,8
35,99,0.5927000000000078,0.6,"[-0.7165773, 0.1888535, 2.677114]","[-0.2574002, 0.0026, 0.9078002]",0.6088298,-2.252401,-15.8303,0.1640974,False,1.1029596156747306,0.7198182149172261,8
36,99,0.6093999999999937,0.6,"[-0.7152283, 0.1887124, 2.677342]","[-0.2573998, 0.0026, 0.9077998]",0.6065176,-2.223475,-15.83029,0.1640991,False,1.099825939978015,0.74497813107565,8
37,99,0.6261000000000081,0.6,"[-0.1871321, -0.0076386, 0.6777133]","[-0.2573999, 0.0026, 0.9078]",0.4646783,-2.031147,-15.83029,0.1640983,False,0.9587641259154565,0.8968895412452165,8
