frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.8,"[-0.6470642, 0.5915345, 2.861915]","[-0.2221999, 0.1987, 0.8645]",-13.32568,10.67413,-14.41455,12.94427,False,-14.086402870514416,10.7622771371216,17
1,99,0.016999999999825377,0.8,"[-0.6494154, 0.5947255, 2.860737]","[-0.2222002, 0.1987, 0.8645002]",-13.31323,10.71882,-14.41457,12.94426,False,-14.072971689189306,10.80872267607794,17
2,99,0.032999999999901775,0.8,"[-0.5886979, 0.5431056, 2.595057]","[-0.2221999, 0.1987, 0.8645002]",-13.34743,10.70395,-14.41455,12.94426,False,-14.108203920633674,10.792872967410606,17
3,99,0.049999999999954525,0.8,"[-0.5890175, 0.5439134, 2.594437]","[-0.2222, 0.1987, 0.8645002]",-13.38706,10.79878,-14.41456,12.94426,False,-14.147302733314273,10.89055889423317,17
4,99,0.06599999999980355,0.8,"[-0.6350319, 0.5867161, 2.824133]","[-0.2221999, 0.1987, 0.8645]",-13.42051,10.76521,-14.41455,12.94427,False,-14.182055596497197,10.855353032990225,17
5,99,0.0829999999998563,0.8,"[-0.636977, 0.5871078, 2.823395]","[-0.2222, 0.1987, 0.8645]",-13.62808,10.68132,-14.41456,12.94427,False,-14.395792476738048,10.765743424537227,17
6,99,0.09999999999990905,0.8,"[-0.6455268, 0.5503518, 2.7499]","[-0.2221999, 0.1987, 0.8645]",-13.63904,10.67702,-14.41455,12.94427,False,-14.407076100703517,10.761146033662477,17
7,99,0.1169999999999618,0.8,"[-0.6473849, 0.5508317, 2.74903]","[-0.2222, 0.1987, 0.8645002]",-13.66273,10.75579,-14.41455,12.94426,False,-14.430108186877408,10.842409745603703,17
8,99,0.13299999999981083,0.8,"[-0.6455678, 0.5274144, 2.683813]","[-0.2222, 0.1987, 0.8644999]",-13.69046,10.75663,-14.41456,12.94427,False,-14.458476346933068,10.842914717242229,17
9,99,0.14999999999986358,0.8,"[-0.6443391, 0.5262778, 2.684072]","[-0.2222001, 0.1987, 0.8645001]",-13.73577,10.80642,-14.41456,12.94426,False,-14.504082774429403,10.893881737317292,17
10,99,0.16599999999993997,0.8,"[-0.4999619, 0.4175164, 2.094793]","[-0.2222001, 0.1987, 0.8645]",-13.76294,10.82058,-14.41456,12.94427,False,-14.531672470955964,10.908188486836963,17
11,99,0.18299999999999272,0.8,"[-0.5014908, 0.4157018, 2.094396]","[-0.2222, 0.1987, 0.8645]",-13.78745,10.83022,-14.41455,12.94426,False,-14.556609381284247,10.917849258534844,17
12,99,0.1999999999998181,0.8,"[-0.550411, 0.4528527, 2.309745]","[-0.2222001, 0.1987, 0.8645001]",-13.78299,10.91613,-14.41456,12.94426,False,-14.550720441910624,11.006877743669822,17
13,99,0.21699999999987085,0.8,"[-0.5498229, 0.4517817, 2.310096]","[-0.2222, 0.1987, 0.8645]",-13.89058,10.85219,-14.41455,12.94427,False,-14.661822255543289,10.939244484511567,17
