frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.8,"[-0.2205108, -0.0012023, 1.51773]","[-0.2380976, 0.0356445, 1.550367]",-8.266653,-0.04538798,-8.730986,1.317055,False,-8.728592537300853,0.883967448218751,0
1,99,0.016200000000026193,0.8,"[-0.2202112, -0.0009041, 1.517893]","[-0.2373106, 0.0354383, 1.550452]",-8.254702,-0.03412691,-8.702099,1.309367,False,-8.716423352127906,0.8949908337051502,0
2,99,0.0340000000001055,0.9,"[-0.1773287, 0.0110626, 1.339917]","[-0.236815, 0.0357541, 1.550445]",-7.538889,0.4730341,-8.684242,1.321036,False,-7.988579190921007,1.3973490987053734,0
3,99,0.05010000000004311,0.9,"[-0.1772825, 0.0104919, 1.340053]","[-0.2378764, 0.0347795, 1.550218]",-7.536191,0.4485852,-8.72382,1.285229,False,-7.985999239007012,1.3743682303544555,0
4,99,0.06720000000007076,0.9,"[-0.178266, 0.0105144, 1.333158]","[-0.2380691, 0.0358176, 1.550129]",-7.616243,0.4518747,-8.731272,1.323651,False,-8.067024773706711,1.3748117910648863,0
5,99,0.08289999999999509,0.9,"[-0.1782275, 0.0109806, 1.333322]","[-0.2382174, 0.0357853, 1.550102]",-7.613694,0.4718474,-8.736777,1.32248,False,-8.06432032464284,1.3937431971361065,0
6,99,0.09970000000009804,0.9,"[-0.1599051, 0.0086344, 1.208659]","[-0.2380509, 0.0355331, 1.550113]",-7.536446,0.4093042,-8.730705,1.313157,False,-7.986500888224852,1.3372933156211004,0
7,99,0.11630000000002383,0.9,"[-0.1595404, 0.0086159, 1.208861]","[-0.2381588, 0.0353497, 1.550109]",-7.518207,0.4083557,-8.734625,1.306382,False,-7.968041312297625,1.3370044530894025,0
8,99,0.13360000000000127,0.9,"[-0.159674, 0.0104652, 1.203916]","[-0.2377423, 0.0357635, 1.550188]",-7.55498,0.4980367,-8.719148,1.321604,False,-8.004714998051856,1.420407341626588,0
9,99,0.14980000000002747,0.9,"[-0.1593285, 0.0091146, 1.204059]","[-0.2375964, 0.0364889, 1.550135]",-7.537935,0.4337164,-8.71417,1.348445,False,-7.987857056694441,1.3602797334976258,0
