frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.8,"[-0.1565945, 0.0293748, 0.6646174]","[-0.1258663, 0.0066861, 0.6684515]",-12.94665,0.8230718,-10.66367,0.5730712,False,-12.120167362964587,2.5765312834261738,14
1,99,0.01639999999997599,0.8,"[-0.1501574, 0.0262701, 0.6417327]","[-0.1258044, 0.0087257, 0.6689852]",-12.905,1.102666,-10.65024,0.7472766,False,-12.060982350585066,2.9028898847898805,14
2,99,0.03319999999996526,0.8,"[-0.1508335, 0.0250747, 0.6419265]","[-0.1280475, 0.0120511, 0.6680485]",-12.9283,1.342302,-10.85051,1.033458,False,-12.067181867059768,3.184035522380483,14
3,99,0.04989999999997963,0.8,"[-0.1350491, 0.0064402, 0.6042508]","[-0.1292336, 0.0171007, 0.6651543]",-13.02823,1.880973,-10.99508,1.47271,False,-12.127002465424132,3.8171663534955687,14
4,99,0.066599999999994,0.8,"[-0.1356616, 0.008867, 0.6044028]","[-0.1302243, 0.022302, 0.6682968]",-13.03191,1.903797,-11.02648,1.911329,False,-12.129002448347025,3.8439792882333537,14
5,99,0.08319999999997663,0.9,"[-0.1287497, 0.0096213, 0.5751966]","[-0.1282127, 0.0297137, 0.6665924]",-12.99115,2.109765,-10.88734,2.552303,False,-12.07567881738493,4.084153085474153,14
6,99,0.0999999999999659,0.9,"[-0.1289998, 0.0116694, 0.5750282]","[-0.1216544, 0.0327808, 0.6620644]",-12.94808,2.059434,-10.41196,2.834569,False,-12.037540871783758,4.024179371088579,14
7,99,0.11660000000000537,0.9,"[-0.1403375, 0.0107057, 0.6198806]","[-0.1167755, 0.0436254, 0.6618187]",-13.07442,2.06409,-10.00663,3.771337,False,-12.159128541285174,4.032690120726286,14
8,99,0.1332999999999629,0.9,"[-0.1406902, 0.0130684, 0.619551]","[-0.1169773, 0.0497439, 0.6641027]",-13.20588,2.049326,-9.989799,4.283683,False,-12.286975958348437,4.018586644248558,14
9,99,0.1501999999999839,0.9,"[-0.1361635, 0.0162949, 0.6014834]","[-0.1156745, 0.0513207, 0.6611474]",-13.33087,2.244068,-9.924032,4.438605,False,-12.394345380926543,4.249629785348456,14
10,99,0.16679999999996653,0.9,"[-0.1372505, 0.0166639, 0.6008353]","[-0.1176264, 0.0545359, 0.6570996]",-13.25589,2.246482,-10.14894,4.744381,False,-12.3218340101034,4.250640685492371,14
11,99,0.183400000000006,0.9,"[-0.131212, 0.01184, 0.5712975]","[-0.1230323, 0.0592876, 0.6560985]",-13.62734,2.148477,-10.62082,5.163446,False,-12.686900966911562,4.144884346288913,14
12,99,0.19999999999998863,0.9,"[-0.1316938, 0.0100556, 0.5711966]","[-0.1246173, 0.0625477, 0.6567531]",-14.04711,2.181538,-10.74401,5.440309,False,-13.089685887084862,4.193758646234427,14
13,99,0.21690000000000964,0.9,"[-0.1384117, 0.0094086, 0.598826]","[-0.122367, 0.0692189, 0.6562206]",-13.85505,2.577091,-10.56277,6.021357,False,-12.877493002465767,4.652247336770773,14
14,99,0.2336999999999989,0.9,"[-0.1377438, 0.008608, 0.5991786]","[-0.1320519, 0.0788923, 0.6555129]",-13.88291,2.609739,-11.38969,6.862651,False,-12.902156487295658,4.691148346522036,14
15,99,0.2500999999999749,0.9,"[-0.1322009, 0.0111056, 0.5769882]","[-0.1319058, 0.0831755, 0.6539227]",-13.65849,2.510791,-11.40437,7.248798,False,-12.692339338363897,4.569859463779765,14
16,99,0.26659999999998263,0.9,"[-0.1325615, 0.0135315, 0.5774831]","[-0.131141, 0.083504, 0.6540393]",-13.74582,2.667151,-11.33799,7.27583,False,-12.765978971975896,4.755050556578465,14
17,99,0.2833999999999719,0.9,"[-0.1357129, 0.0192619, 0.5865188]","[-0.1278328, 0.0826756, 0.6521195]",-14.23142,4.836343,-11.09086,7.225406,False,-13.087140234258266,7.306640294624592,14
18,99,0.3002999999999929,0.9,"[-0.1358429, 0.0195087, 0.5869088]","[-0.1278165, 0.0801974, 0.6570133]",-14.24051,4.868436,-11.00891,6.959301,False,-13.093730469997661,7.344436976738898,14
19,99,0.32200000000000273,0.9,"[-0.1318691, 0.0210568, 0.5715905]","[-0.1309024, 0.0794146, 0.6562194]",-14.23956,5.703108,-11.28126,6.900287,False,-13.036100921353274,8.321702362853102,14
20,99,0.3331999999999766,0.9,"[-0.1313546, 0.0205444, 0.5713209]","[-0.1324599, 0.078333, 0.6545575]",-14.28213,5.882394,-11.4402,6.824317,False,-13.0649944028419,8.53265289073233,14
21,99,0.35009999999999764,0.9,"[-0.13076, 0.0202926, 0.563046]","[-0.1362946, 0.0787662, 0.6523595]",-13.90108,6.772658,-11.80081,6.884596,False,-12.636833418831847,9.565805259355933,14
22,99,0.3668999999999869,0.9,"[-0.132108, 0.0201452, 0.5629855]","[-0.1427571, 0.0820309, 0.6534787]",-13.91469,6.802854,-12.32307,7.154892,False,-12.647913845311983,9.60149025764874,14
23,99,0.3832999999999629,0.9,"[-0.140231, 0.0231903, 0.5917943]","[-0.1443287, 0.0810048, 0.6531363]",-13.44422,6.957619,-12.46085,7.069965,False,-12.183446983775761,9.771307231157753,14
24,99,0.39990000000000236,0.9,"[-0.1384234, 0.0230504, 0.5875927]","[-0.1423655, 0.0789311, 0.652018]",-13.49679,6.88868,-12.31699,6.902446,False,-12.238855330758595,9.691861887734468,14
25,99,0.416499999999985,0.9,"[-0.1235057, 0.0191122, 0.5094478]","[-0.1462618, 0.0798155, 0.6533077]",-13.5126,6.585156,-12.61923,6.965384,False,-12.274733563561286,9.336859025867414,14
26,99,0.43329999999997426,0.9,"[-0.1282916, 0.0195325, 0.512753]","[-0.1516335, 0.0776503, 0.6532674]",-13.55274,6.423171,-13.06783,6.778631,False,-12.32447047986996,9.148168379553939,14
27,99,0.44999999999998863,0.8,"[-0.1390797, 0.0253802, 0.5638915]","[-0.1577478, 0.0761235, 0.6556138]",-13.48807,6.444512,-13.52882,6.622969,False,-12.260621090361225,9.171589891851221,14
28,99,0.466700000000003,0.8,"[-0.1393132, 0.0256916, 0.5636594]","[-0.1593882, 0.0779897, 0.6536362]",-13.43713,6.602552,-13.70404,6.804175,False,-12.200731425305392,9.355399963402716,14
29,99,0.48349999999999227,0.8,"[-0.1416271, 0.0255561, 0.5828124]","[-0.1616643, 0.0812537, 0.651882]",-13.11101,7.129715,-13.92814,7.104981,False,-11.85024315560554,9.964740087855096,14
30,99,0.5,0.8,"[-0.1424621, 0.0271297, 0.5823786]","[-0.1637781, 0.0836834, 0.6488386]",-13.0085,7.272637,-14.16652,7.349106,False,-11.741621397377248,10.129600301632317,14
31,99,0.5167999999999893,0.8,"[-0.2128092, 0.0709954, 0.8390787]","[-0.1673998, 0.0822846, 0.6514031]",-12.62929,7.528877,-14.4122,7.199417,False,-11.3583154163817,10.420440593176151,14
32,99,0.533299999999997,0.8,"[-0.2129154, 0.0714569, 0.8389389]","[-0.1676806, 0.0802599, 0.6520172]",-12.59803,7.505274,-14.42234,7.017506,False,-11.329756735647804,10.392047731341302,14
33,99,0.5501999999999612,0.6,"[-0.1526913, 0.0600889, 0.601683]","[-0.1622119, 0.0796086, 0.6493594]",-12.11218,7.110327,-14.02561,6.989332,True,-10.887800803661516,9.91785364792658,14
34,99,0.5668999999999755,0.6,"[-0.1531986, 0.0620037, 0.601806]","[-0.1688884, 0.078222, 0.6508852]",-12.10875,7.116702,-14.54603,6.852823,True,-10.884058077817127,9.925234859365956,14
35,99,0.5833000000000084,0.6,"[-0.1936453, 0.0929194, 0.782421]","[-0.1674436, 0.0775519, 0.6484927]",-13.01854,6.902025,-14.47781,6.819498,True,-11.77649060668381,9.69590672094419,14
36,99,0.6000999999999976,0.6,"[-0.1938865, 0.0933587, 0.7825981]","[-0.1737165, 0.0745079, 0.6508158]",-13.05806,6.949444,-14.94503,6.531012,True,-11.811401057432517,9.752384916069946,14
37,99,0.616800000000012,0.9,"[-0.1478119, 0.0754574, 0.618332]","[-0.1732619, 0.0734649, 0.6518267]",-14.90887,6.216004,-14.88557,6.430448,False,-13.647061116255887,8.938441131558857,14
38,99,0.6334999999999695,0.9,"[-0.1484641, 0.0747288, 0.6185503]","[-0.1705493, 0.0730609, 0.6517102]",-14.85476,6.128381,-14.66515,6.396517,False,-13.600804655118418,8.83453618956847,14
39,99,0.6502999999999588,0.7,"[-0.1373801, 0.065995, 0.5716752]","[-0.1690056, 0.0712085, 0.6525576]",-14.669,6.039423,-14.51997,6.227599,False,-13.427611316149815,8.725880364703233,14
