frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.67,"[0.0283969, -0.1068821, 0.3615856]","[0.2222999, -0.2006, 0.8654]",-6.08737,5.660615,14.40639,-13.0507,False,-7.916200386683593,3.381277450388955,14
1,99,0.017200000000002547,0.67,"[0.029336, -0.110787, 0.3618984]","[0.2223, -0.2006, 0.8654001]",-6.592329,8.314681,14.4064,-13.05069,False,-9.033423667995525,5.77171389514719,14
2,99,0.03319999999996526,0.67,"[0.0297115, -0.1101804, 0.3609126]","[0.2223002, -0.2006, 0.8654001]",-6.662079,8.420912,14.40641,-13.05069,False,-9.121295906215325,5.867094633045921,14
3,99,0.050299999999992906,0.67,"[0.0284608, -0.1113423, 0.3617796]","[0.2223, -0.2005999, 0.8654001]",-5.973415,7.130907,14.4064,-13.05069,False,-8.192161226122721,4.70789524417242,14
4,99,0.06979999999998654,0.67,"[0.0279403, -0.1083564, 0.3623554]","[0.2223001, -0.2006, 0.8654]",-5.845919,6.994717,14.4064,-13.05069,False,-8.046339006599066,4.585844734707631,14
5,99,0.08350000000007185,0.67,"[0.0277898, -0.1144678, 0.3620604]","[0.2223, -0.2005999, 0.8654]",-5.760685,6.199056,14.4064,-13.05069,False,-7.769030138969606,3.8688187986012124,14
6,99,0.10000000000002274,0.67,"[0.0276722, -0.1145399, 0.360894]","[0.2223001, -0.2006, 0.8653998]",-5.829835,5.998001,14.40641,-13.0507,False,-7.777957845704374,3.687087972893226,14
7,99,0.1168999999999869,0.6,"[0.027888, -0.1194229, 0.3605419]","[0.2222999, -0.2006001, 0.8654]",-5.409175,5.353643,14.4064,-13.0507,False,-7.247063467792734,3.108529096258662,14
8,99,0.13390000000003965,0.6,"[0.0277785, -0.1190026, 0.3607969]","[0.2223, -0.2005999, 0.8654001]",-5.075501,4.508665,14.4064,-13.05068,False,-6.740745265476882,2.348524286641315,14
9,99,0.1510000000000673,0.6,"[0.0214842, -0.0804115, 0.3643573]","[0.2223001, -0.2005999, 0.8654]",-5.208566,4.86272,14.4064,-13.05069,False,-6.947019698414592,2.6670152252607555,14
10,99,0.16700000000003,0.6,"[0.0215052, -0.0805043, 0.3644134]","[0.2223001, -0.2005998, 0.8654003]",-5.163774,4.818648,14.4064,-13.05068,False,-6.8967525687484565,2.627540135573755,14
