frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.7,"[-0.1353914, 0.0770629, 0.5263352]","[-0.2575969, 0.1618363, 0.9898184]",-14.42568,8.329728,-14.58745,9.285756,False,-13.002996506539354,8.944018573531048,0
1,99,0.016000000000019554,0.7,"[-0.1358196, 0.0773655, 0.5264679]","[-0.2577117, 0.1618082, 0.989821]",-14.46589,8.359897,-14.59364,9.284145,False,-13.03822033575232,8.977386197842293,0
2,99,0.033599999999978536,0.7,"[-0.1377013, 0.0811239, 0.5389363]","[-0.257654, 0.1624227, 0.990131]",-14.33276,8.560241,-14.58613,9.315924,False,-12.922735142887847,9.170702856057915,0
3,99,0.05009999999998627,0.7,"[-0.1377385, 0.0810597, 0.538992]","[-0.2575019, 0.162656, 0.9898919]",-14.33504,8.552693,-14.58126,9.331283,False,-12.924697375014828,9.163226351286394,0
4,99,0.06779999999997699,0.7,"[-0.1423849, 0.0846595, 0.5629377]","[-0.2578748, 0.1624284, 0.9902821]",-14.19424,8.552547,-14.59597,9.314846,False,-12.801756288440645,9.15313191593202,0
5,99,0.08379999999999654,0.7,"[-0.142404, 0.0846758, 0.563065]","[-0.2573047, 0.1624078, 0.9902745]",-14.19299,8.552261,-14.56518,9.313754,False,-12.800663759537716,9.152754216671617,0
6,99,0.10109999999997399,0.7,"[-0.1365361, 0.0818368, 0.5369617]","[-0.2573182, 0.1623122, 0.9904115]",-14.26656,8.665604,-14.56398,9.307102,False,-12.865330894783959,9.272639572871785,0
7,99,0.11739999999997508,0.7,"[-0.1359687, 0.0817189, 0.53695]","[-0.2571428, 0.1624038, 0.9903131]",-14.20997,8.653493,-14.55586,9.313175,False,-12.815873093228365,9.256387094323076,0
8,99,0.13459999999997763,0.7,"[-0.1382107, 0.0809419, 0.5400443]","[-0.2574928, 0.162396, 0.9902304]",-14.35529,8.524044,-14.576,9.313498,False,-12.942270382844185,9.135667913169286,0
9,99,0.15080000000000382,0.7,"[-0.1384118, 0.0809238, 0.5401053]","[-0.2575063, 0.1623739, 0.9900923]",-14.37376,8.521217,-14.57868,9.313526,False,-12.958386897248499,9.134112162921168,0
10,99,0.1675000000000182,0.7,"[-0.1348237, 0.0800211, 0.5276836]","[-0.2577799, 0.1622935, 0.9901671]",-14.3325,8.622974,-14.59245,9.308309,False,-12.922745542427801,9.23416195289294,0
11,99,0.18439999999998236,0.7,"[-0.1349001, 0.0801593, 0.5277619]","[-0.2579657, 0.1620719, 0.9900405]",-14.33825,8.636383,-14.60431,9.296988,False,-12.927816944275078,9.24813628414622,0
12,99,0.20100000000002183,0.7,"[-0.1360929, 0.0808646, 0.5300395]","[-0.2576692, 0.1623189, 0.9899693]",-14.40019,8.674346,-14.58924,9.311563,False,-12.98204397679332,9.29092549969442,0
13,99,0.21760000000000446,0.7,"[-0.1362403, 0.0810388, 0.5301468]","[-0.257978, 0.1620072, 0.9898361]",-14.41234,8.691016,-14.60786,9.295225,False,-12.992715926370225,9.308651652700902,0
14,99,0.2348999999999819,0.7,"[-0.1348695, 0.0795613, 0.5280421]","[-0.2577489, 0.1618192, 0.9900536]",-14.32784,8.568433,-14.59237,9.282626,False,-12.918470213041687,9.17864450262226,0
15,99,0.25139999999998963,0.7,"[-0.1348353, 0.0796665, 0.5280036]","[-0.2575674, 0.161816, 0.9899414]",-14.32536,8.58021,-14.58412,9.283476,False,-12.91634935462193,9.190386064894128,0
16,99,0.2685999999999922,0.7,"[-0.1295453, 0.0754908, 0.5105699]","[-0.2577461, 0.1622981, 0.9898268]",-14.23704,8.410585,-14.59542,9.311713,False,-12.838590144803797,9.012508797714466,0
