frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,1.0,"[-0.1290324, -0.0322693, 1.197279]","[0.3965168, 0.3322736, 1.00171]",-6.081864,2.053304,21.59563,18.35101,False,-6.662743138812669,1.753838019709733,13
1,99,0.01670000000001437,1.0,"[-0.1248147, -0.0286689, 1.207587]","[0.4003167, 0.3443728, 0.9972718]",-6.301987,1.903515,21.87111,19.05056,False,-6.880491807537413,1.613605493860443,13
2,99,0.03330000000002542,1.0,"[-0.1246306, -0.0269287, 1.20758]","[0.4010299, 0.3561609, 0.9928058]",-6.301684,1.485135,21.99555,19.73503,False,-6.8617514690689685,1.2349775879818532,13
3,99,0.05010000000001469,1.0,"[-0.1214799, -0.019162, 1.204928]","[0.3983086, 0.3713271, 0.9867617]",-6.477851,1.376605,21.98158,20.62176,False,-7.0365181893638935,1.1330177087400777,13
4,99,0.06670000000002574,1.0,"[-0.1189359, -0.0151056, 1.205372]","[0.3988923, 0.3766024, 0.9817815]",-6.617256,0.8498861,22.11163,20.98636,False,-7.155394277457498,0.6533769125213252,13
5,99,0.08340000000001169,0.9,"[-0.1138429, 0.0409159, 1.178043]","[0.4061825, 0.3822893, 0.9739277]",-6.629384,0.8123425,22.63888,21.43116,False,-7.166101070504974,0.6191424315145632,13
6,99,0.10000000000002274,0.9,"[-0.1169671, 0.0403788, 1.177029]","[0.4121103, 0.3793081, 0.9732276]",-6.397285,0.6933932,22.95008,21.29297,False,-6.924307428706782,0.5164207706583024,13
7,99,0.12250000000000227,1.0,"[-0.1131223, 0.0573697, 1.184742]","[0.4081642, 0.3732053, 0.9806206]",-6.399471,0.6203309,22.59857,20.83586,False,-6.923316658520233,0.450252902646314,13
8,99,0.13349999999999795,1.0,"[-0.1130572, 0.0584009, 1.184571]","[0.4050236, 0.3726752, 0.9800299]",-6.348396,0.6903881,22.45417,20.82027,False,-6.874347774333365,0.5147390904602609,13
9,99,0.15040000000001896,1.0,"[-0.1202017, 0.0641219, 1.215451]","[0.4060456, 0.3697857, 0.9793094]",-6.465187,0.7840815,22.52009,20.68646,False,-6.997507815983107,0.5970521830970834,13
10,99,0.16680000000002337,1.0,"[-0.1207359, 0.066248, 1.215346]","[0.4024453, 0.3583786, 0.985146]",-6.225974,1.360832,22.22067,19.99049,False,-6.779112353559978,1.124090604623913,13
11,99,0.18370000000001596,1.0,"[-0.1038334, 0.0482709, 1.046511]","[0.4014843, 0.3543692, 0.9882773]",-6.211864,1.265437,22.10928,19.72645,False,-6.76052897835573,1.0380575921008692,13
12,99,0.20050000000000523,1.0,"[-0.1048559, 0.0488474, 1.046024]","[0.4012996, 0.3487539, 0.9911342]",-5.822781,1.828857,22.0425,19.38562,False,-6.388799977594615,1.5562137138353431,13
13,99,0.21680000000000632,1.0,"[-0.1168941, 0.0393332, 1.097092]","[0.3992662, 0.348528, 0.9926165]",-5.814629,1.86647,21.91177,19.34722,False,-6.382148548386093,1.5904265894030707,13
14,99,0.23340000000001737,1.0,"[-0.121034, 0.0364242, 1.095964]","[0.3979262, 0.3436065, 0.9946314]",-5.512086,2.487369,21.80506,19.05804,False,-6.101152611773347,2.1587639779878858,13
15,99,0.25020000000000664,1.0,"[-0.11865, 0.027856, 1.074428]","[0.3949195, 0.3445325, 0.9954703]",-5.568396,2.504282,21.63905,19.09075,False,-6.1592883938680005,2.172874770647821,13
16,99,0.26670000000001437,1.0,"[-0.1218873, 0.0257967, 1.07348]","[0.3917755, 0.3458717, 0.9968362]",-5.422847,3.382073,21.45577,19.13521,False,-6.049616698789329,2.970366625769001,13
17,99,0.2834000000000003,1.0,"[-0.1140023, 0.0145778, 0.9827009]","[0.3908423, 0.3510009, 0.996191]",-5.367002,3.390028,21.4219,19.40955,False,-5.99305038826955,2.9787515269986304,13
18,99,0.30000000000001137,1.0,"[-0.1142087, 0.0139332, 0.9826632]","[0.3907741, 0.3536058, 0.9952295]",-4.85721,3.817313,21.43732,19.56017,False,-5.492298408889704,3.3762680447331594,13
19,99,0.3166000000000224,1.0,"[-0.1109205, 0.0119731, 0.9893021]","[0.388441, 0.3635021, 0.9923446]",-4.859428,3.849343,21.37724,20.1181,False,-5.495970041985378,3.405208139047157,13
20,99,0.33320000000000505,1.0,"[-0.1109445, 0.01071, 0.9891746]","[0.3890424, 0.3743379, 0.9881014]",-4.507925,4.30224,21.49091,20.74897,False,-5.157673231800683,3.822542987280457,13
21,99,0.35520000000002483,1.0,"[-0.1181352, 0.0127952, 1.061832]","[0.3880153, 0.3854641, 0.9828606]",-4.480412,4.39064,21.5432,21.41442,False,-5.13352662692838,3.903129195028493,13
22,99,0.36650000000000205,1.0,"[-0.1202217, 0.0145192, 1.060903]","[0.386776, 0.3897996, 0.9819429]",-4.30989,4.677088,21.49891,21.65148,False,-4.972351333379355,4.165985204604705,13
23,99,0.3832000000000164,1.0,"[-0.1206163, 0.0262646, 1.105624]","[0.3849373, 0.3988109, 0.9796931]",-4.31218,4.764828,21.45067,22.15013,False,-4.9785506246972915,4.2453413787407674,13
24,99,0.39990000000000236,1.0,"[-0.1203435, 0.0244234, 1.105648]","[0.3826448, 0.4081002, 0.9767722]",-4.05911,1.918414,21.39247,22.67541,False,-4.595226407994826,1.6747065293453531,13
25,99,0.4164000000000101,1.0,"[-0.1151361, 0.0360504, 1.129029]","[0.3801569, 0.4161511, 0.9744393]",-4.029596,1.950712,21.31219,23.12574,False,-4.566568854620635,1.7045628505160177,13
26,99,0.4333000000000027,1.0,"[-0.1149729, 0.036792, 1.129019]","[0.3817697, 0.423628, 0.9707488]",-3.854312,0.4851581,21.4684,23.57612,False,-4.323356595259432,0.38195640309395973,13
