frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.9,"[-0.0805138, 0.0673304, 0.7508793]","[-0.2221999, 0.1987, 0.8645]",-5.402094,4.430796,-14.41455,12.94427,False,-6.074666383645691,3.919902637280572,8
1,99,0.016400000000089676,0.9,"[-0.080752, 0.0680692, 0.7507276]","[-0.2222001, 0.1987, 0.8645002]",-5.339276,4.471811,-14.41456,12.94426,False,-6.0124496908514535,3.9583549135310516,8
2,99,0.03309999999999036,0.9,"[-0.0776741, 0.0641986, 0.7545885]","[-0.2222, 0.1987, 0.8645]",-5.013635,4.5332,-14.41456,12.94426,False,-5.683263527351461,4.020825547743597,8
3,99,0.049600000000054933,0.9,"[-0.0785237, 0.0651578, 0.7540237]","[-0.2222001, 0.1987, 0.8645001]",-4.999841,4.548121,-14.41456,12.94427,False,-5.669862133402903,4.034621922059108,8
4,99,0.06619999999998072,1.0,"[-0.0761509, 0.0599936, 0.7199792]","[-0.2222, 0.1987, 0.8645001]",-4.59091,4.648277,-14.41456,12.94427,False,-5.257495348777198,4.133945021186395,8
5,99,0.0844000000000733,1.0,"[-0.0763129, 0.0570191, 0.7196396]","[-0.2221999, 0.1987, 0.8645001]",-4.511904,4.637322,-14.41455,12.94427,False,-5.176490467125848,4.125708072452237,8
6,99,0.09969999999998436,1.0,"[-0.0780493, 0.0630755, 0.7743399]","[-0.2222001, 0.1987, 0.8645]",-4.219621,4.608087,-14.41456,12.94427,False,-4.877310107145939,4.105455684247702,8
7,99,0.11650000000008731,1.0,"[-0.0767328, 0.0627944, 0.7745875]","[-0.2222, 0.1987, 0.8645]",-4.187826,4.550508,-14.41455,12.94427,False,-4.842368290704748,4.054021652966795,8
8,99,0.13260000000002492,1.0,"[-0.0689274, 0.0564793, 0.7288917]","[-0.2221999, 0.1987, 0.8645]",-4.176419,4.574626,-14.41455,12.94427,False,-4.83180487677134,4.076090644696703,8
9,99,0.1492000000000644,1.0,"[-0.0681011, 0.0569874, 0.7286762]","[-0.2221999, 0.1987, 0.8645001]",-4.282866,4.475342,-14.41455,12.94426,False,-4.9359208751761114,3.9839785963787118,8
10,99,0.17000000000007276,1.0,"[-0.066571, 0.0601636, 0.7588298]","[-0.2222, 0.1987, 0.8645001]",-4.009564,4.426893,-14.41455,12.94426,False,-4.655239330842703,3.945934541696269,8
11,99,0.18780000000003838,1.0,"[-0.0663842, 0.0603601, 0.7587994]","[-0.2222, 0.1987, 0.8645]",-4.042799,4.397933,-14.41456,12.94427,False,-4.687836350707472,3.919020115294413,8
12,99,0.1995000000000573,0.9,"[-0.0627954, 0.0635835, 0.7820253]","[-0.2222, 0.1987, 0.8645002]",-4.225052,4.204439,-14.41455,12.94426,False,-4.865062825208417,3.7400385180672657,8
13,99,0.21600000000000819,0.9,"[-0.0617155, 0.0634384, 0.7820917]","[-0.2222, 0.1987, 0.8645001]",-3.791417,4.115304,-14.41456,12.94426,False,-4.419178806120264,3.668577542243612,8
14,99,0.23290000000008604,0.9,"[-0.057752, 0.0630908, 0.7827623]","[-0.2222, 0.1987, 0.8645001]",-3.791117,4.067444,-14.41455,12.94426,False,-4.416764600031681,3.625270561209759,8
15,99,0.25,0.9,"[-0.0573157, 0.0622996, 0.7827688]","[-0.2222, 0.1987, 0.8645]",-3.787166,3.952344,-14.41456,12.94427,False,-4.407667099964458,3.521188822262138,8
16,99,0.26670000000001437,0.9,"[-0.0563167, 0.0617082, 0.7712335]","[-0.2222001, 0.1987, 0.8645002]",-2.481894,1.888255,-14.41456,12.94426,False,-2.9864122098838037,1.680897704386319,8
17,99,0.2839000000000169,0.9,"[-0.057458, 0.0600505, 0.7672353]","[-0.2222, 0.1987, 0.8645]",-2.470749,1.885712,-14.41456,12.94427,False,-2.9749412870628595,1.6788329007649676,8
18,99,0.3007999999999811,1.0,"[-0.0525393, 0.0580286, 0.7495487]","[-0.2222, 0.1987, 0.8645]",-1.692605,1.324563,-14.41456,12.94426,False,-2.1571421896867715,1.1875128620964148,8
19,99,0.31730000000004566,1.0,"[-0.0529807, 0.0576523, 0.749612]","[-0.2221999, 0.1987, 0.8645]",-1.74891,1.278859,-14.41455,12.94427,False,-2.212514314948594,1.1449553102471983,8
20,99,0.33390000000008513,0.9,"[-0.0593528, 0.0590622, 0.8034219]","[-0.2222, 0.1987, 0.8645002]",-1.772289,1.644864,-14.41455,12.94426,False,-2.2524661679343407,1.4756938709318304,8
21,99,0.35580000000004475,0.9,"[-0.0508624, 0.0552218, 0.7675094]","[-0.2221999, 0.1987, 0.8644999]",-1.822776,1.596267,-14.41455,12.94427,False,-2.301781185829302,1.430641670162049,8
22,99,0.36760000000003856,0.9,"[-0.0508774, 0.0545978, 0.7677965]","[-0.2222, 0.1987, 0.8644999]",-2.850564,1.626374,-14.41456,12.94427,False,-3.3506206002198495,1.4360680722743822,8
23,99,0.38400000000001455,0.9,"[-0.0508241, 0.0530477, 0.7677944]","[-0.2221999, 0.1987, 0.8645001]",-2.905161,1.671581,-14.41455,12.94426,False,-3.4082569849564406,1.4758213324694678,8
24,99,0.400600000000054,1.0,"[-0.0319957, 0.0243363, 0.7381744]","[-0.2222, 0.1987, 0.8645]",-0.9879152,3.666079,-14.41456,12.94427,False,-1.5420824747480426,3.321548222030423,8
25,99,0.4171999999999798,1.0,"[-0.031858, 0.0243082, 0.7383169]","[-0.2221999, 0.1987, 0.8645002]",-1.054227,3.629789,-14.41455,12.94426,False,-1.6080681772609058,3.2872979005752967,8
26,99,0.43410000000005766,1.0,"[-0.0213364, 0.0166951, 0.722041]","[-0.2222, 0.1987, 0.8645001]",-1.074054,3.636106,-14.41455,12.94426,False,-1.6285539846807457,3.292593854857494,8
27,99,0.45090000000004693,1.0,"[-0.0220425, 0.0161159, 0.7219084]","[-0.2221999, 0.1987, 0.8645001]",-1.09359,3.614621,-14.41455,12.94426,False,-1.647518403978169,3.2727351480645455,8
