frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.8,"[-0.0910671, 0.1125957, 0.5879904]","[-0.2008398, 0.2054741, 0.8772969]",-8.775333,10.79658,-12.89454,13.1818,False,-9.793085249143596,9.60932824483901,1
1,99,0.01700000000005275,0.8,"[-0.0907748, 0.112139, 0.5880437]","[-0.2008375, 0.2049531, 0.8774589]",-6.447668,7.898421,-12.89209,13.14719,False,-7.293071293081503,7.035908828188786,1
2,99,0.0340000000001055,0.8,"[-0.0699035, 0.0858146, 0.6185573]","[-0.2002311, 0.2056719, 0.8775322]",-6.420717,7.864275,-12.85342,13.19063,False,-7.26409877073956,7.005578845884919,1
3,99,0.05099999999993088,0.8,"[-0.0696047, 0.0854338, 0.6185209]","[-0.2002338, 0.205308, 0.8777013]",-0.5756966,8.289454,-12.8512,13.16566,False,-1.3256331645913702,7.514459056743023,1
4,99,0.06700000000000728,0.4,"[-0.0062197, 0.0901852, 0.6189947]","[-0.2000026, 0.2056955, 0.8777291]",-0.5586641,8.2793,-12.83646,13.18924,True,-1.3078264514262703,7.505631284774213,1
5,99,0.08400000000006003,0.4,"[-0.0060346, 0.0900567, 0.6188815]","[-0.1991844, 0.2058559, 0.8779584]",-0.5898186,3.856046,-12.78244,13.19583,True,-1.144714600432118,3.5019203504871275,1
6,99,0.09999999999990905,0.9,"[-0.0075037, 0.049129, 0.7288899]","[-0.1997171, 0.205584, 0.8777732]",-0.5301049,4.036719,-12.81812,13.1817,False,-1.091814348546018,3.666697357311023,1
7,99,0.12599999999997635,1.0,"[-0.0067779, 0.0516978, 0.7325652]","[-0.1995658, 0.2051405, 0.8779718]",-0.4905016,4.023922,-12.80592,13.15137,False,-1.0508872258446635,3.655956857188794,1
8,99,0.13400000000001455,1.0,"[-0.0062701, 0.0515215, 0.7323974]","[-0.1993455, 0.2055943, 0.8777499]",-0.4835821,4.040943,-12.79538,13.18267,False,-1.0445847801407189,3.6715077845584205,1
9,99,0.1510000000000673,1.0,"[-0.0061805, 0.0517307, 0.7322636]","[-0.1998408, 0.2059534, 0.8776646]",-0.4572907,3.905345,-12.82733,13.20613,False,-1.0118150991517478,3.549349632224454,1
10,99,0.16699999999991633,1.0,"[-0.0063334, 0.0541715, 0.7935253]","[-0.1990946, 0.2060956, 0.8779125]",-0.4211723,3.908005,-12.77752,13.21132,False,-0.9751207082987345,3.5525237471029625,1
11,99,0.18399999999996908,1.0,"[-0.0058323, 0.0542004, 0.793407]","[-0.1986958, 0.205271, 0.878236]",-0.3741091,3.820467,-12.74822,13.15563,False,-0.9232978392720894,3.4743009410946515,1
12,99,0.20000000000004547,0.75,"[-0.0050009, 0.0511454, 0.765893]","[-0.199357, 0.2052796, 0.8780097]",-0.3391618,3.798236,-12.79243,13.15944,False,-0.8867004632368087,3.4549238118203993,1
13,99,0.21800000000007458,0.75,"[-0.0045322, 0.050829, 0.7656244]","[-0.1998644, 0.2049137, 0.8778338]",-0.5015833,3.732706,-12.8264,13.13933,False,-1.0493522268002504,3.3921708016586716,1
14,99,0.2339999999999236,1.0,"[-0.0070977, 0.0528937, 0.8107508]","[-0.1988043, 0.2052111, 0.8778811]",-0.4797304,3.705911,-12.75994,13.15706,False,-1.025899490652395,3.368385246795018,1
15,99,0.25099999999997635,1.0,"[-0.006788, 0.0525094, 0.8106961]","[-0.1982868, 0.2061396, 0.8778064]",-0.4735193,3.638452,-12.72885,13.21559,False,-1.0165973159006245,3.307466645882859,1
16,99,0.26700000000005275,1.0,"[-0.0065716, 0.050562, 0.7951437]","[-0.1992602, 0.2063694, 0.8774897]",-0.4613327,3.687835,-12.79376,13.23441,False,-1.0063523771098364,3.3524170404126497,1
17,99,0.2840000000001055,1.0,"[-0.0064017, 0.0512444, 0.7950556]","[-0.199106, 0.2060523, 0.8775941]",-0.3650126,3.551037,-12.78271,13.21327,False,-0.9021571563846635,3.2306596319072893,1
18,99,0.3009999999999309,1.0,"[-0.0051202, 0.0498751, 0.8037015]","[-0.1993072, 0.206173, 0.8774347]",-0.3848812,3.568238,-12.79745,13.22306,False,-0.9231648514029358,3.2458047344134555,1
19,99,0.3170000000000073,1.0,"[-0.0053982, 0.0501107, 0.8035948]","[-0.1990444, 0.2059612, 0.8776307]",-0.3749784,3.805811,-12.77837,13.2071,False,-0.9235381598631969,3.4610187900427856,1
20,99,0.3330000000000837,1.0,"[-0.0052367, 0.0532275, 0.8001504]","[-0.199154, 0.2054567, 0.8776897]",-0.3828491,3.797964,-12.78435,13.17503,False,-0.9312142167929705,3.4537501478311583,1
21,99,0.3510000000001128,1.0,"[-0.005346, 0.0531105, 0.8000462]","[-0.1984505, 0.2054928, 0.8778638]",-0.3417332,3.695207,-12.73821,13.17474,False,-0.8847823214527679,3.3616278666456547,1
22,99,0.3669999999999618,1.0,"[-0.0052055, 0.0563648, 0.872748]","[-0.1986196, 0.2051198, 0.877882]",-0.3013346,3.657848,-12.74846,13.15139,False,-0.8419625688148736,3.328675615392529,1
23,99,0.3890000000001237,1.0,"[-0.0045887, 0.0557766, 0.8724862]","[-0.1983394, 0.2043737, 0.8781371]",-0.4770834,3.660845,-12.72749,13.10153,False,-1.021216329776145,3.327656666700382,1
24,99,0.4010000000000673,1.0,"[-0.0069491, 0.0533943, 0.8345355]","[-0.1982514, 0.2043805, 0.8781126]",-0.4407902,3.667035,-12.72237,13.10231,False,-0.9844992966016182,3.33402914637386,1
25,99,0.41800000000012005,1.0,"[-0.0064202, 0.0534828, 0.8345038]","[-0.1979679, 0.2042006, 0.878209]",-0.3345713,3.532561,-12.70341,13.08979,False,-0.8703176831033872,3.214585116887972,1
26,99,0.43499999999994543,1.0,"[-0.0050589, 0.0534819, 0.8663411]","[-0.1981355, 0.2047654, 0.8779112]",-0.3564793,3.565587,-12.71799,13.12904,False,-0.8941010803316063,3.244008563484446,1
27,99,0.4519999999999982,1.0,"[-0.0053892, 0.0539734, 0.8661847]","[-0.1976722, 0.204273, 0.8781141]",-0.2362488,3.402149,-12.68638,13.09563,False,-0.7643629648508554,3.0986495570543906,1
