frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.9,"[-0.2178457, 0.0493186, 1.155732]","[0.0003, 0.0011, 0.9993]",-10.67453,2.443502,0.01720107,0.06306987,False,-9.872192945013726,3.0346973665816335,0
1,99,0.016799999999989268,0.9,"[-0.2044237, 0.0471414, 1.078959]","[0.0003, 0.0011, 0.9993]",-10.72831,2.50175,0.0171985,0.06306947,False,-9.92618350514774,3.0883384844179824,0
2,99,0.033299999999997,0.9,"[-0.2043266, 0.0475192, 1.078635]","[0.0003, 0.0011, 0.9993001]",-10.72648,2.522531,0.01720021,0.06306814,False,-9.924743273674604,3.1071822033629433,0
3,99,0.04989999999997963,0.7,"[-0.4371621, 0.0875315, 2.06567]","[0.0003001, 0.0011, 0.9993001]",-11.94931,2.426421,0.01720875,0.06306943,False,-11.12759020696296,3.0370016984882535,0
4,99,0.0665000000000191,0.7,"[-0.4361221, 0.090306, 2.065683]","[0.0002999, 0.0011, 0.9992999]",-11.92163,2.503222,0.01719722,0.06307113,False,-11.10166383496816,3.106350732359339,0
5,99,0.08330000000000837,0.67,"[-0.2049079, 0.0917935, 2.065614]","[0.0003001, 0.0011, 0.9993001]",-5.66518,2.544483,0.01720705,0.06306866,False,-4.939599400326127,3.056387282385827,0
6,99,0.10019999999997253,0.67,"[-0.2044719, 0.0908386, 2.065538]","[0.0002999, 0.0011, 0.9993002]",-5.65341,2.518141,0.01719551,0.06306954,False,-4.927546268391116,3.0323040882194974,0
7,99,0.11660000000000537,0.9,"[-0.0056647, 0.0466609, 0.9918503]","[0.0003, 0.0011, 0.9992999]",-0.3272254,2.693451,0.01720278,0.06307034,False,0.31584238554409944,3.1170577480015016,0
8,99,0.13330000000001974,0.9,"[-0.0060648, 0.0463754, 0.9914491]","[0.0003, 0.0011, 0.9993001]",-0.350478,2.678081,0.01720192,0.06306852,False,0.2932059194000495,3.103426617617235,0
9,99,0.14979999999997062,0.9,"[-0.0053727, 0.0499058, 0.9867686]","[0.0003, 0.0011, 0.9993001]",-0.3119582,2.895264,0.01720277,0.0630689,False,0.3273618781549248,3.3000920008626715,0
10,99,0.16660000000001673,0.9,"[-0.0050112, 0.0497371, 0.9865198]","[0.0003, 0.0011, 0.9992999]",-0.2910441,2.88622,0.01719979,0.06306933,False,0.34812057654832507,3.2915877290503444,0
11,99,0.18319999999999936,0.9,"[-0.00921, 0.0468698, 0.9914591]","[0.0003, 0.0011, 0.9993]",-0.5322254,2.706561,0.01719936,0.06306961,False,0.1136828580729854,3.1318264243933234,0
12,99,0.199799999999982,0.9,"[-0.0091206, 0.0466876, 0.9914823]","[0.0002999, 0.0011, 0.9992999]",-0.5270458,2.695994,0.01719594,0.06307016,False,0.11896917708262966,3.122159134697348,0
13,99,0.21649999999999636,0.9,"[-0.0072725, 0.0541108, 0.9966184]","[0.0002999, 0.0011, 0.9993001]",-0.4180911,3.10779,0.01719594,0.06306907,False,0.21911195705555409,3.4945501979620914,0
14,99,0.2336999999999989,0.9,"[-0.0075559, 0.0537236, 0.9965528]","[0.0003, 0.0011, 0.9993001]",-0.4344113,3.085798,0.01719893,0.06306912,False,0.203419577092186,3.47480937122554,0
15,99,0.25,0.9,"[-0.0098364, 0.051441, 0.9694301]","[0.0003, 0.0011, 0.9992999]",-0.5813388,3.037446,0.01719936,0.06307041,False,0.05953489075791962,3.4329586114152635,0
16,99,0.26670000000001437,0.9,"[-0.0090978, 0.0524899, 0.9691103]","[0.0003, 0.0011, 0.9992999]",-0.537863,3.100283,0.01720278,0.06307004,False,0.10126408097212869,3.489407503472837,0
17,99,0.283299999999997,1.0,"[-0.0114752, 0.0594605, 1.052026]","[0.0003, 0.0011, 0.9993002]",-0.6249401,3.234913,0.0171985,0.0630679,False,0.013142994755126924,3.6128693049114236,0
18,99,0.29980000000000473,1.0,"[-0.0114816, 0.0591647, 1.051877]","[0.0003001, 0.0011, 0.9993001]",-0.6253751,3.219309,0.01720833,0.06306943,False,0.012986603960872256,3.5987068437880434,0
19,99,0.31689999999997553,0.8,"[-0.0096759, 0.0461597, 0.8969528]","[0.0003, 0.0011, 0.9993002]",-0.618055,2.946003,0.01719935,0.06306806,False,0.024962922577260294,3.350440813740885,0
20,99,0.3435000000000059,0.3,"[-0.024631, -0.0436782, 0.8885016]","[0.0003, 0.0011, 0.9993001]",-1.587942,-2.814362,0.01720235,0.06306839,False,-0.8299566719221712,-1.8664570645346483,0
21,99,0.35009999999999764,0.3,"[-0.0252366, -0.0437128, 0.8887277]","[0.0003, 0.0011, 0.9993002]",-1.626552,-2.815872,0.0172032,0.06306803,False,-0.8679623061117228,-1.8672886121025267,0
22,99,0.36950000000001637,0.0,"[-0.0249916, -0.0451164, 0.8895538]","[0.0003, 0.0011, 0.9992999]",-1.609273,-2.903439,0.01719893,0.06306971,True,-0.8494150312279565,-1.9470415133175956,0
