frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,1.0,"[0.0088449, 0.0117376, 0.8398958]","[0.0003, 0.0011, 0.9993001]",0.6033595,0.8006619,0.01720363,0.06307011,False,-0.5547379961480218,0.03740608314012572,0
1,99,0.01659999999998263,1.0,"[0.0083867, 0.011952, 0.8398491]","[0.0003, 0.0011, 0.9992999]",0.5721325,0.8153296,0.01720021,0.06306906,False,-0.5873970151056935,0.05237127459323976,0
2,99,0.033699999999953434,1.0,"[0.0079612, 0.0128469, 0.8129671]","[0.0003, 0.0011, 0.9993]",0.5610695,0.9053368,0.01720021,0.06306884,False,-0.6014453603067198,0.1405578505504278,0
3,99,0.049799999999947886,1.0,"[0.0074562, 0.0128566, 0.8130515]","[0.0003, 0.0011, 0.9993002]",0.5254229,0.9059302,0.01720021,0.06306989,False,-0.6382547746957035,0.14185761177616518,0
4,99,0.06680000000000064,1.0,"[0.0070606, 0.0120687, 0.8287015]","[0.0003, 0.0011, 0.9992999]",0.4881559,0.8343592,0.0171985,0.06306841,False,-0.6746281489379453,0.07266451918393657,0
5,99,0.08329999999995152,1.0,"[0.0073375, 0.0119459, 0.8287199]","[0.0002999, 0.0011, 0.9993001]",0.5072812,0.8258525,0.01719679,0.06306969,False,-0.6546397219307132,0.06396479213539474,0
6,99,0.0999999999999659,1.0,"[0.0080564, 0.0112393, 0.7798609]","[0.0003, 0.0011, 0.9993001]",0.5918788,0.8256839,0.01720192,0.06306969,False,-0.5673187163165955,0.062091681580314195,0
7,99,0.11679999999995516,1.0,"[0.0082051, 0.0109525, 0.7798674]","[0.0003, 0.0011, 0.9993001]",0.6027985,0.8046125,0.01720363,0.0630699,False,-0.5554324526901564,0.04127829528553284,0
8,99,0.13349999999996953,1.0,"[0.0075592, 0.0129164, 0.8074797]","[0.0003, 0.0011, 0.9993001]",0.5363538,0.9164225,0.01720363,0.0630682,False,-0.6272791841755383,0.15189090046940368,0
9,99,0.14989999999994552,1.0,"[0.0075624, 0.0129104, 0.807557]","[0.0003, 0.0011, 0.9992999]",0.536535,0.9159092,0.01720192,0.06306991,False,-0.6270771637737322,0.15138559820426223,0
10,99,0.16679999999996653,1.0,"[0.0077312, 0.0138696, 0.8110548]","[0.0003, 0.0011, 0.9993]",0.5461448,0.9797026,0.01720021,0.06306905,False,-0.6190224854802764,0.2135362184157461,0
11,99,0.18339999999994916,1.0,"[0.0076955, 0.0134818, 0.811112]","[0.0002999, 0.0011, 0.9993001]",0.5435845,0.9522471,0.01719338,0.06306969,False,-0.620862859776079,0.18675592365562366,0
12,99,0.1998999999999569,1.0,"[0.007808, 0.0136349, 0.7952686]","[0.0003, 0.0011, 0.9992999]",0.5625178,0.9822376,0.01720363,0.06306864,False,-0.6021974196148173,0.21568301798030076,0
13,99,0.21659999999997126,1.0,"[0.0082635, 0.0137146, 0.795357]","[0.0003, 0.0011, 0.9993001]",0.5952629,0.9878706,0.0171985,0.06307033,False,-0.5685646666247434,0.2205268497817865,0
14,99,0.23329999999998563,1.0,"[0.0063646, 0.0162665, 0.7756577]","[0.0003, 0.0011, 0.9993]",0.4701222,1.201384,0.01720021,0.06306948,False,-0.7039651348404445,0.43171850194203143,0
15,99,0.24989999999996826,1.0,"[0.005792, 0.0165789, 0.775631]","[0.0003, 0.0011, 0.9993001]",0.4278459,1.224498,0.0171985,0.06307097,False,-0.7482752999208333,0.4551613077020559,0
16,99,0.26679999999998927,1.0,"[0.0100361, 0.0159459, 0.823648]","[0.0003001, 0.0011, 0.9993]",0.6981097,1.109114,0.01720534,0.06306841,False,-0.46595547123855907,0.3369400028327193,0
17,99,0.283299999999997,1.0,"[0.0095259, 0.0154601, 0.8232719]","[0.0002999, 0.0011, 0.9993001]",0.6629272,1.075823,0.01719679,0.06306969,False,-0.5012958325506115,0.3051154931571435,0
18,99,0.2999999999999545,1.0,"[0.0089667, 0.0132371, 0.7205676]","[0.0003, 0.0011, 0.9993]",0.7129496,1.05243,0.01720192,0.06306948,False,-0.44898250058270195,0.2812436008778424,0
19,99,0.31689999999997553,1.0,"[0.0086076, 0.0134957, 0.7206008]","[0.0003, 0.0011, 0.9993001]",0.6843647,1.07293,0.01720363,0.06307033,False,-0.47908492670211433,0.30185528935934147,0
20,99,0.3335999999999899,1.0,"[0.0110811, 0.0144264, 0.7407419]","[0.0003, 0.0011, 0.9992999]",0.8570501,1.115732,0.0171985,0.06307034,False,-0.30210100829310327,0.34019811440399594,0
21,99,0.36089999999995825,1.0,"[0.0103767, 0.0143519, 0.7404702]","[0.0003, 0.0011, 0.9993001]",0.8028683,1.110373,0.01720021,0.06306884,False,-0.35786731908208325,0.33605494667454383,0
22,99,0.367999999999995,1.0,"[0.0095526, 0.0154506, 0.7544121]","[0.0003, 0.0011, 0.9993]",0.7254557,1.173268,0.01720192,0.06306927,False,-0.4396051897346026,0.39908487428670003,0
