frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.9,"[-0.0805138, 0.0673304, 0.7508793]","[-0.2221999, 0.1987, 0.8645]",-5.402094,4.430796,-14.41455,12.94427,False,-6.089931600918794,4.156724586663959,8
1,99,0.016400000000089676,0.9,"[-0.080752, 0.0680692, 0.7507276]","[-0.2222001, 0.1987, 0.8645002]",-5.339276,4.471811,-14.41456,12.94426,False,-6.026360421395079,4.196334400775768,8
2,99,0.03309999999999036,0.9,"[-0.0776741, 0.0641986, 0.7545885]","[-0.2222, 0.1987, 0.8645]",-5.013635,4.5332,-14.41456,12.94426,False,-5.699961739776702,4.254757476379721,8
3,99,0.049600000000054933,0.9,"[-0.0785237, 0.0651578, 0.7540237]","[-0.2222001, 0.1987, 0.8645001]",-4.999841,4.548121,-14.41456,12.94427,False,-5.68587928100237,4.2692010202429085,8
4,99,0.06619999999998072,1.0,"[-0.0761509, 0.0599936, 0.7199792]","[-0.2222, 0.1987, 0.8645001]",-4.59091,4.648277,-14.41456,12.94427,False,-5.27551686660704,4.364973849841824,8
5,99,0.0844000000000733,1.0,"[-0.0763129, 0.0570191, 0.7196396]","[-0.2221999, 0.1987, 0.8645001]",-4.511904,4.637322,-14.41455,12.94427,False,-5.196864899864767,4.354037398585264,8
6,99,0.09969999999998436,1.0,"[-0.0780493, 0.0630755, 0.7743399]","[-0.2222001, 0.1987, 0.8645]",-4.219621,4.608087,-14.41456,12.94427,False,-4.905656664029285,4.324548540316158,8
7,99,0.11650000000008731,1.0,"[-0.0767328, 0.0627944, 0.7745875]","[-0.2222, 0.1987, 0.8645]",-4.187826,4.550508,-14.41455,12.94427,False,-4.875110494421188,4.268495310835306,8
8,99,0.13260000000002492,1.0,"[-0.0689274, 0.0564793, 0.7288917]","[-0.2221999, 0.1987, 0.8645]",-4.176419,4.574626,-14.41455,12.94427,False,-4.863219857422509,4.291882120472249,8
9,99,0.1492000000000644,1.0,"[-0.0681011, 0.0569874, 0.7286762]","[-0.2221999, 0.1987, 0.8645001]",-4.282866,4.475342,-14.41455,12.94426,False,-4.971562856750639,4.1958297152260675,8
10,99,0.17000000000007276,1.0,"[-0.066571, 0.0601636, 0.7588298]","[-0.2222, 0.1987, 0.8645001]",-4.009564,4.426893,-14.41455,12.94426,False,-4.699705129498915,4.1477462222172745,8
11,99,0.18780000000003838,1.0,"[-0.0663842, 0.0603601, 0.7587994]","[-0.2222, 0.1987, 0.8645]",-4.042799,4.397933,-14.41456,12.94427,False,-4.733489682659342,4.119736982140409,8
12,99,0.1995000000000573,0.9,"[-0.0627954, 0.0635835, 0.7820253]","[-0.2222, 0.1987, 0.8645002]",-4.225052,4.204439,-14.41455,12.94426,False,-4.919478002279671,3.932447151043571,8
13,99,0.21600000000000819,0.9,"[-0.0617155, 0.0634384, 0.7820917]","[-0.2222, 0.1987, 0.8645001]",-3.791417,4.115304,-14.41456,12.94426,False,-4.488389731848734,3.844242268980842,8
14,99,0.23290000000008604,0.9,"[-0.057752, 0.0630908, 0.7827623]","[-0.2222, 0.1987, 0.8645001]",-3.791117,4.067444,-14.41455,12.94426,False,-4.48908606938927,3.7977478191138303,8
15,99,0.25,0.9,"[-0.0573157, 0.0622996, 0.7827688]","[-0.2222, 0.1987, 0.8645]",-3.787166,3.952344,-14.41456,12.94427,False,-4.487536346415137,3.6859198438922096,8
16,99,0.26670000000001437,0.9,"[-0.0563167, 0.0617082, 0.7712335]","[-0.2222001, 0.1987, 0.8645002]",-2.481894,1.888255,-14.41456,12.94426,False,-3.2272964506077106,1.6759101914892423,8
17,99,0.2839000000000169,0.9,"[-0.057458, 0.0600505, 0.7672353]","[-0.2222, 0.1987, 0.8645]",-2.470749,1.885712,-14.41456,12.94427,False,-3.216222150832497,1.6733982959330476,8
18,99,0.3007999999999811,1.0,"[-0.0525393, 0.0580286, 0.7495487]","[-0.2222, 0.1987, 0.8645]",-1.692605,1.324563,-14.41456,12.94426,False,-2.450996224634685,1.1253748151636076,8
19,99,0.31730000000004566,1.0,"[-0.0529807, 0.0576523, 0.749612]","[-0.2221999, 0.1987, 0.8645]",-1.74891,1.278859,-14.41455,12.94427,False,-2.5081623656750813,1.0811856386686367,8
20,99,0.33390000000008513,0.9,"[-0.0593528, 0.0590622, 0.8034219]","[-0.2222, 0.1987, 0.8645002]",-1.772289,1.644864,-14.41455,12.94426,False,-2.523888316038468,1.436826253522685,8
21,99,0.35580000000004475,0.9,"[-0.0508624, 0.0552218, 0.7675094]","[-0.2221999, 0.1987, 0.8644999]",-1.822776,1.596267,-14.41455,12.94427,False,-2.5753059387426043,1.3898050176133303,8
22,99,0.36760000000003856,0.9,"[-0.0508774, 0.0545978, 0.7677965]","[-0.2222, 0.1987, 0.8644999]",-2.850564,1.626374,-14.41456,12.94427,False,-3.6008272497742055,1.4228805427217528,8
23,99,0.38400000000001455,0.9,"[-0.0508241, 0.0530477, 0.7677944]","[-0.2221999, 0.1987, 0.8645001]",-2.905161,1.671581,-14.41455,12.94426,False,-3.6543964634888586,1.466999992786193,8
24,99,0.400600000000054,1.0,"[-0.0319957, 0.0243363, 0.7381744]","[-0.2222, 0.1987, 0.8645]",-0.9879152,3.666079,-14.41456,12.94427,False,-1.6987093548870988,3.397402801601966,8
25,99,0.4171999999999798,1.0,"[-0.031858, 0.0243082, 0.7383169]","[-0.2221999, 0.1987, 0.8645002]",-1.054227,3.629789,-14.41455,12.94426,False,-1.7656704421073366,3.3623960761296012,8
26,99,0.43410000000005766,1.0,"[-0.0213364, 0.0166951, 0.722041]","[-0.2222, 0.1987, 0.8645001]",-1.074054,3.636106,-14.41455,12.94426,False,-1.785334357982683,3.3686065413448434,8
27,99,0.45090000000004693,1.0,"[-0.0220425, 0.0161159, 0.7219084]","[-0.2221999, 0.1987, 0.8645001]",-1.09359,3.614621,-14.41455,12.94426,False,-1.8052862352446084,3.34780782344106,8
28,99,0.4676000000000613,1.0,"[-0.0227166, 0.0210824, 0.734164]","[-0.2222, 0.1987, 0.8645]",-1.68249,-1.409747,-14.41455,12.94427,False,-2.4977921979266835,-1.5308931956553988,8
29,99,0.48440000000005057,1.0,"[-0.0233655, 0.0204604, 0.734207]","[-0.2222, 0.1987, 0.8645]",-1.680578,-1.351474,-14.41455,12.94427,False,-2.4946707194105326,-1.4742913336303731,8
30,99,0.5008000000000266,0.8,"[-0.0298965, 0.0170478, 0.6004184]","[-0.2221999, 0.1987, 0.8645002]",-2.060304,-1.205925,-14.41455,12.94426,False,-2.870762174092438,-1.3314841802896444,8
31,99,0.5179000000000542,0.8,"[-0.0304776, 0.0175262, 0.6005653]","[-0.2222, 0.1987, 0.8645]",-2.124438,-0.9656366,-14.41455,12.94426,False,-2.929793963432222,-1.097818459671548,8
32,99,0.5344000000000051,0.4,"[-0.010393, 0.0386165, 0.6026992]","[-0.2222001, 0.1987, 0.8645002]",-1.882539,-1.137734,-14.41456,12.94426,False,-2.6918619652788376,-1.2659025392572523,8
33,99,0.5506000000000313,0.0,"[-0.0110858, 0.0382163, 0.6024317]","[-0.2222, 0.1987, 0.8645002]",-1.879499,-1.104581,-14.41455,12.94426,True,-2.688136977526254,-1.2337075638866293,8
34,99,0.5674000000000206,0.0,"[-0.011301, 0.0383052, 0.6027824]","[-0.2222, 0.1987, 0.8645001]",-2.011089,-1.317764,-14.41456,12.94427,True,-2.823952833135333,-1.4403128718640643,8
35,99,0.5853000000000748,0.0,"[-0.0115064, 0.0380778, 0.6027749]","[-0.2222, 0.1987, 0.8645]",-2.007632,-1.455101,-14.41455,12.94427,True,-2.8233590236665456,-1.5737410177929638,8
36,99,0.6017000000000507,0.7,"[-0.0206732, -0.0173204, 0.7038046]","[-0.2222, 0.1987, 0.8645002]",-1.938282,-1.384262,-14.41455,12.94426,False,-2.752645698206204,-1.5051831737621137,8
37,99,0.61850000000004,0.7,"[-0.0206523, -0.0166063, 0.7038945]","[-0.2221999, 0.1987, 0.8645]",-2.024153,-1.497722,-14.41455,12.94427,False,-2.840740505060218,-1.6150834161639753,8
38,99,0.6354999999999791,0.8,"[-0.0208072, -0.0121753, 0.578387]","[-0.2222, 0.1987, 0.8645]",-1.88563,-1.824637,-14.41455,12.94426,False,-2.7092409362972827,-1.9331791484289302,8
