frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.5,"[-0.0417292, 0.148172, 0.5401263]","[-0.2222, 0.1987, 0.8645]",3.417984,14.33599,-14.41456,12.94427,False,-1.8498380631343572,11.262097336810395,24
1,99,0.016799999999989268,0.5,"[-0.042238, 0.1478584, 0.5407654]","[-0.2222001, 0.1987001, 0.8645002]",3.47179,14.19431,-14.41456,12.94427,False,-1.7668082331866404,11.13465214846819,24
2,99,0.03350000000000364,0.5,"[-0.0409244, 0.1467242, 0.5397993]","[-0.2222, 0.1987, 0.8644999]",3.62563,14.25563,-14.41456,12.94427,False,-1.6484431341010088,11.190877779843937,24
3,99,0.05000000000001137,0.5,"[-0.0406849, 0.1460483, 0.541001]","[-0.2222, 0.1987, 0.8645001]",3.860029,14.17227,-14.41456,12.94426,False,-1.422977272058365,11.117113866656052,24
4,99,0.06689999999997553,0.5,"[-0.0414589, 0.1434227, 0.5397979]","[-0.2221999, 0.1987, 0.8645]",3.879427,14.30292,-14.41455,12.94426,False,-1.4394220444009747,11.235052820884253,24
5,99,0.0835999999999899,0.5,"[-0.0425618, 0.1429136, 0.5410227]","[-0.2222001, 0.1987, 0.8645]",4.006656,14.39957,-14.41456,12.94426,False,-1.3532550535911132,11.322979347969362,24
6,99,0.10039999999997917,0.5,"[-0.0456167, 0.1359662, 0.5401616]","[-0.2222001, 0.1987, 0.8645001]",3.989634,14.42671,-14.41456,12.94426,False,-1.375009754002034,11.347352116199627,24
7,99,0.1168999999999869,0.5,"[-0.0463003, 0.1356228, 0.5408384]","[-0.2222, 0.1987, 0.8645]",3.855347,14.40641,-14.41456,12.94427,False,-1.4868103048837704,11.328236678648448,24
8,99,0.13360000000000127,0.5,"[-0.0471168, 0.1337868, 0.5402505]","[-0.2221999, 0.1987, 0.8645]",3.916104,14.41139,-14.41455,12.94426,False,-1.4351540680503945,11.333093557614886,24
9,99,0.15039999999999054,0.5,"[-0.0479347, 0.1343537, 0.5403731]","[-0.2221999, 0.1987, 0.8645]",3.818237,14.45756,-14.41455,12.94426,False,-1.5321917854934481,11.374141072153916,24
10,99,0.16730000000001155,0.67,"[-0.1193097, 0.1296681, 0.5396842]","[-0.2222, 0.1987, 0.8645]",3.920104,14.56067,-14.41456,12.94427,False,-1.4697670073030338,11.467740611653394,24
11,99,0.18360000000001264,0.67,"[-0.1191826, 0.1289991, 0.5403098]","[-0.2222001, 0.1987, 0.8645002]",3.991199,14.43198,-14.41456,12.94427,False,-1.3749913837314172,11.352114105566436,24
12,99,0.20010000000002037,0.67,"[-0.1131805, 0.1283066, 0.5399352]","[-0.2222, 0.1987, 0.8645]",3.985043,14.37798,-14.41455,12.94427,False,-1.366572819124612,11.30337901891393,24
13,99,0.2167999999999779,0.67,"[-0.1129693, 0.1278275, 0.5403638]","[-0.2222, 0.1987, 0.8645001]",3.92395,14.40147,-14.41455,12.94426,False,-1.4257875278038652,11.324194794670772,24
14,99,0.23349999999999227,0.5,"[-0.0220822, 0.1490446, 0.5422131]","[-0.2222, 0.1987, 0.8645]",3.874668,14.39271,-14.41455,12.94427,False,-1.4664828752509347,11.315998149400299,24
15,99,0.25139999999998963,0.5,"[-0.0292333, 0.1478141, 0.5420818]","[-0.2222, 0.1987, 0.8645]",3.998688,14.32858,-14.41456,12.94427,False,-1.3420789899774446,11.258911510879695,24
16,99,0.26780000000002246,0.5,"[0.0329015, 0.1479746, 0.5441704]","[-0.2221999, 0.1987, 0.8644999]",4.158433,14.32116,-14.41455,12.94426,False,-1.2010268754280808,11.253181923546041,24
17,99,0.28410000000002356,0.5,"[0.0317296, 0.1476362, 0.541757]","[-0.2222, 0.1987, 0.8645]",4.203983,14.17414,-14.41455,12.94427,False,-1.1238262740242648,11.120871329894015,24
18,99,0.30279999999999063,0.5,"[0.0310524, 0.144695, 0.5413332]","[-0.2221999, 0.1987, 0.8645]",-2.205487,15.05504,-14.41455,12.94427,False,-6.932112968959937,11.87668662417199,24
19,99,0.3177000000000021,0.5,"[0.0316112, 0.1430669, 0.5426064]","[-0.2222001, 0.1987, 0.8645001]",-2.207453,14.9519,-14.41456,12.94427,False,-6.907503452146046,11.783661569525375,24
20,99,0.33440000000001646,0.5,"[0.032711, 0.1414234, 0.5424838]","[-0.2222, 0.1987, 0.8645]",-4.51015,14.63121,-14.41456,12.94426,False,-8.831606475768277,11.480593108264307,24
21,99,0.3562000000000012,0.5,"[0.0293933, 0.1421329, 0.5422076]","[-0.2222, 0.1987, 0.8645]",-4.481471,14.68136,-14.41456,12.94426,False,-8.819422055387474,11.525991825472284,24
22,99,0.3684000000000083,0.5,"[0.0340503, 0.1415783, 0.5431498]","[-0.2221999, 0.1987, 0.8645002]",-4.873427,14.5558,-14.41455,12.94427,False,-9.128822297298893,11.410399806775253,24
23,99,0.3842000000000212,0.5,"[0.0335228, 0.1407919, 0.5432222]","[-0.2222001, 0.1987, 0.8645001]",-4.792337,14.62323,-14.41456,12.94426,False,-9.07539113984131,11.47169747532197,24
24,99,0.401299999999992,0.5,"[0.0324201, 0.1387247, 0.542814]","[-0.2221999, 0.1987, 0.8645]",-4.764608,15.05583,-14.41455,12.94427,False,-9.161638602270827,11.861989684122737,24
25,99,0.4175999999999931,0.5,"[0.0329503, 0.1373731, 0.5431202]","[-0.2222, 0.1987, 0.8645]",-4.729896,15.01371,-14.41455,12.94426,False,-9.120650617031973,11.82421424239761,24
26,99,0.4345000000000141,0.5,"[0.034406, 0.1379592, 0.542992]","[-0.2222, 0.1987, 0.8644999]",-4.590878,14.92632,-14.41456,12.94427,False,-8.977245403199216,11.746241691286544,24
27,99,0.45069999999998345,0.5,"[0.0366399, 0.1371295, 0.5430355]","[-0.2222001, 0.1987, 0.8645]",-5.176116,15.06422,-14.41456,12.94427,False,-9.522256269979092,11.867078077968996,24
28,99,0.4685000000000059,0.5,"[0.0368078, 0.1383846, 0.5427888]","[-0.2222, 0.1987, 0.8645]",-4.40877,15.05983,-14.41455,12.94427,False,-8.852678702616705,11.867739571446984,24
29,99,0.48509999999998854,0.5,"[0.0380201, 0.1393646, 0.5428062]","[-0.2222001, 0.1987, 0.8645002]",-4.558706,14.96345,-14.41456,12.94426,False,-8.958695321372801,11.779919807567573,24
30,99,0.5013999999999896,0.5,"[0.0378536, 0.1396224, 0.542743]","[-0.2221999, 0.1987, 0.8645]",-4.557726,15.22452,-14.41455,12.94427,False,-9.024468775107113,12.015362595003607,24
31,99,0.5183999999999855,0.5,"[0.0366044, 0.1395273, 0.5431706]","[-0.2222, 0.1987, 0.8645]",-4.571229,15.20329,-14.41455,12.94426,False,-9.03081356092104,11.99613575259221,24
32,99,0.535000000000025,0.5,"[0.0371655, 0.1395117, 0.542914]","[-0.2221999, 0.1987, 0.8645]",-4.784627,15.08067,-14.41455,12.94426,False,-9.185417097245564,11.884270231462725,24
33,99,0.5514999999999759,0.5,"[0.036235, 0.1399826, 0.5429311]","[-0.2221999, 0.1987, 0.8644999]",-4.832376,15.12408,-14.41455,12.94427,False,-9.23809120707376,11.923130514362558,24
34,99,0.5681999999999903,0.5,"[0.0371998, 0.1410063, 0.5428589]","[-0.2222, 0.1987, 0.8645001]",-4.683012,15.03521,-14.41455,12.94426,False,-9.085295586740934,11.843885573730219,24
35,99,0.5844999999999914,0.5,"[0.0378939, 0.1397694, 0.5431072]","[-0.2221999, 0.1987, 0.8645001]",-4.759817,14.92486,-14.41455,12.94427,False,-9.124040428691329,11.74390779957728,24
36,99,0.6014000000000124,0.5,"[0.0378085, 0.139125, 0.5427222]","[-0.2222, 0.1987, 0.8645002]",-4.66461,14.95297,-14.41455,12.94427,False,-9.048276766216393,11.769831099085529,24
37,99,0.6181000000000267,0.5,"[0.0372511, 0.1394526, 0.5430741]","[-0.2222, 0.1987, 0.8645001]",-4.672008,14.96278,-14.41456,12.94427,False,-9.057224967875094,11.7786333599276,24
38,99,0.6347000000000094,0.5,"[0.0367609, 0.1392848, 0.542765]","[-0.2222, 0.1987, 0.8645002]",-6.374495,15.23084,-14.41455,12.94426,False,-10.608721498052885,12.010122657194286,24
39,99,0.6517000000000053,0.5,"[0.0379601, 0.1387061, 0.5430338]","[-0.2222, 0.1987, 0.8645001]",-6.619837,15.052,-14.41455,12.94426,False,-10.7768045775749,11.847364741051603,24
40,99,0.6684999999999945,0.5,"[0.0394789, 0.1386209, 0.5429934]","[-0.2222, 0.1987, 0.8644999]",5.781417,14.12233,-14.41456,12.94427,False,0.2635442495505329,11.08364657479429,24
41,99,0.6886000000000081,0.5,"[0.0399738, 0.137347, 0.5438219]","[-0.2222001, 0.1987, 0.8645]",5.706321,13.71481,-14.41456,12.94427,False,0.3021283365152183,10.715686676979166,24
42,99,0.7022999999999797,0.5,"[-0.0209441, 0.1462797, 0.5438329]","[-0.2222001, 0.1987, 0.8645]",6.305637,13.66312,-14.41456,12.94427,False,0.8374014704892949,10.672680544752556,24
43,99,0.7182999999999993,0.5,"[-0.0209792, 0.1453437, 0.5442572]","[-0.2222, 0.1987, 0.8645002]",6.369605,13.64403,-14.41455,12.94426,False,0.897997759158585,10.655850067138395,24
44,99,0.7350999999999885,0.5,"[-0.0429165, 0.1420372, 0.5440739]","[-0.2222, 0.1987, 0.8645001]",6.226142,13.45506,-14.41455,12.94426,False,0.8212496685038799,10.484570212867244,24
45,99,0.7515000000000214,0.5,"[-0.0426482, 0.1425651, 0.544147]","[-0.2222, 0.1987, 0.8645]",6.167946,13.42002,-14.41456,12.94427,False,0.7794959458729307,10.452620190569899,24
46,99,0.7687999999999988,0.5,"[-0.0463716, 0.1412182, 0.5438644]","[-0.2221999, 0.1987, 0.8645001]",6.377075,13.15946,-14.41455,12.94427,False,1.028171245634386,10.218902469584602,24
47,99,0.7848000000000184,0.5,"[-0.0455958, 0.1419, 0.5438583]","[-0.2221999, 0.1987, 0.8645]",6.431259,13.16345,-14.41455,12.94426,False,1.0743542087795759,10.222826973171156,24
48,99,0.8016999999999825,0.5,"[-0.0453368, 0.1463141, 0.5439311]","[-0.2222, 0.1987, 0.8645]",6.301075,13.29352,-14.41455,12.94427,False,0.9277522681612203,10.339342188393594,24
49,99,0.8220999999999776,0.5,"[-0.0450063, 0.1458894, 0.543946]","[-0.2222, 0.1987, 0.8645]",6.406028,13.29744,-14.41456,12.94426,False,1.018179434177139,10.34350926305064,24
50,99,0.835899999999981,0.5,"[-0.0436859, 0.1450275, 0.5440478]","[-0.2222, 0.1987, 0.8645002]",6.2648,13.22857,-14.41455,12.94427,False,0.9127278321961807,10.280550868458594,24
51,99,0.8564999999999827,0.5,"[-0.0492235, 0.1462523, 0.5433841]","[-0.2222, 0.1987, 0.8644999]",6.231529,13.20161,-14.41456,12.94427,False,0.8906249141645057,10.256037594991177,24
52,99,0.8691000000000031,0.5,"[-0.0419505, 0.1464021, 0.544107]","[-0.2222, 0.1987, 0.8644999]",-0.9622992,12.87386,-14.41456,12.94427,False,-5.292481618873458,9.917151085134325,24
53,99,0.8856000000000108,0.5,"[-0.0434038, 0.1454902, 0.5443655]","[-0.2221999, 0.1987, 0.8644999]",-1.028844,12.62151,-14.41455,12.94427,False,-5.286048965030433,9.689177337098075,24
