frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.7,"[-0.1007096, 0.0926476, 0.5081813]","[-0.1864944, 0.199954, 0.8914838]",-11.20944,10.33224,-11.81562,12.64185,False,-13.172370624450355,9.138959324494053,0
1,99,0.017000000000280124,0.7,"[-0.100694, 0.0926536, 0.5082642]","[-0.1866583, 0.2003282, 0.8913027]",-11.20596,10.33124,-11.82805,12.66723,False,-13.169609287502798,9.138090005868953,0
2,99,0.0340000000001055,0.35,"[-0.1246576, 0.1159288, 0.5103291]","[-0.1863585, 0.1999537, 0.8914493]",-13.72678,12.79839,-11.8077,12.6423,False,-15.634736284506209,11.381930480286034,0
3,99,0.0500000000001819,0.35,"[-0.1245079, 0.1160415, 0.5104021]","[-0.1866513, 0.1998039, 0.8913574]",-13.70904,12.80865,-11.82691,12.6344,False,-15.624756497486665,11.39172298784014,0
4,99,0.06700000000000728,0.35,"[-0.126998, 0.1177129, 0.5106611]","[-0.1867189, 0.1997791, 0.8914664]",-13.96576,12.98055,-11.82967,12.63138,False,-15.85463689524266,11.546738905409248,0
5,99,0.08500000000003638,0.35,"[-0.1269313, 0.1174788, 0.5108321]","[-0.1871124, 0.1996029, 0.8914111]",-13.95422,12.95142,-11.85461,12.62136,False,-15.838594159916129,11.519947774915293,0
6,99,0.10100000000011278,0.35,"[-0.1233684, 0.1169013, 0.5104989]","[-0.1868946, 0.199989, 0.8913177]",-13.58576,12.89802,-11.84241,12.64627,False,-15.560224621483503,11.476510337491,0
7,99,0.11799999999993815,0.35,"[-0.1234974, 0.1165968, 0.5105746]","[-0.1874601, 0.1997467, 0.891189]",-13.5975,12.8637,-11.87889,12.63321,False,-15.559485367192284,11.444531920057942,0
8,99,0.13400000000001455,0.35,"[-0.1210406, 0.1154318, 0.5104443]","[-0.1864133, 0.1998342, 0.8915343]",-13.34004,12.74253,-11.80998,12.63382,False,-15.34260679428811,11.336513332668495,0
9,99,0.15200000000004366,0.35,"[-0.1210657, 0.1156781, 0.5105116]","[-0.1868269, 0.199777, 0.8913528]",-13.34101,12.7672,-11.83779,12.63282,False,-15.349882873629305,11.359346405056472,0
10,99,0.16800000000012005,0.35,"[-0.1250486, 0.1177511, 0.5106415]","[-0.1869358, 0.199408, 0.8914263]",-13.76011,12.98511,-11.84354,12.60922,False,-15.708436159022236,11.554322658756321,0
11,99,0.18499999999994543,0.35,"[-0.1247567, 0.1178335, 0.5109019]","[-0.1878721, 0.1997582, 0.8911505]",-13.72246,12.98749,-11.90475,12.63444,False,-15.68208218823554,11.55714218146277,0
12,99,0.20100000000002183,0.52,"[-0.6401317, 0.7220159, 4.168802]","[-0.1875415, 0.2002089, 0.8909692]",-8.72975,9.825872,-11.88675,12.66452,False,-11.259767786219093,8.710488760693398,0
13,99,0.21800000000030195,0.52,"[-0.6392419, 0.719749, 4.16949]","[-0.1879444, 0.2013676, 0.8906358]",-8.716385,9.794036,-11.91589,12.74004,False,-11.241694998539195,8.681221201199337,0
14,99,0.23700000000008004,1.0,"[-0.0671048, 0.072148, 0.8909255]","[-0.1872909, 0.2011489, 0.890799]",-4.307403,4.629765,-11.87352,12.7244,False,-6.703607397763387,3.970207380534896,0
15,99,0.2519999999999527,1.0,"[-0.0677119, 0.0726117, 0.8910269]","[-0.1873971, 0.2006405, 0.8908886]",-4.345729,4.658864,-11.8789,12.69205,False,-6.738843006563946,3.996532110904512,0
16,99,0.2680000000000291,1.0,"[-0.0042335, 0.0243948, 0.7756912]","[-0.1871671, 0.2012254, 0.8911523]",-0.3126971,1.801305,-11.86133,12.7242,False,-3.085567540890045,1.4158114887483728,0
17,99,0.28500000000030923,1.0,"[-0.0041707, 0.024819, 0.7757901]","[-0.1864142, 0.200854, 0.8912835]",-0.308022,1.832374,-11.81327,12.69967,False,-3.090503955099301,1.444663445015893,0
18,99,0.3010000000003856,1.0,"[-0.002634, 0.0233374, 0.7716604]","[-0.1853639, 0.2006853, 0.8915623]",-0.1955751,1.732275,-11.74499,12.68551,False,-2.983196562362212,1.353790906821095,0
19,99,0.318000000000211,1.0,"[-0.0026408, 0.023012, 0.7716575]","[-0.185464, 0.2003745, 0.8913305]",-0.1960826,1.708144,-11.75413,12.66968,False,-2.9771233855953936,1.331432904164549,0
20,99,0.3340000000002874,1.0,"[-0.002026, 0.0230803, 0.7488377]","[-0.1853182, 0.2004353, 0.8913521]",-0.155012,1.765386,-11.74487,12.6731,False,-2.962951907216016,1.3851205446848496,0
21,99,0.36000000000012733,1.0,"[-0.0003243, 0.0247399, 0.8143618]","[-0.185672, 0.2001489, 0.8912503]",-0.02281938,1.740082,-11.76798,12.65698,False,-2.8614417386827196,1.3638444758053145,0
22,99,0.36799999999993815,1.0,"[-0.0009881, 0.0239277, 0.814541]","[-0.1860524, 0.1999692, 0.8913109]",-0.06950381,1.682616,-11.79063,12.64515,False,-2.8795776547399763,1.3098576393264671,0
23,99,0.3850000000002183,1.0,"[-0.000552, 0.0245005, 0.8146977]","[-0.1858777, 0.2009947, 0.8911407]",-0.03882077,1.722542,-11.78205,12.71025,False,-2.8682332812431692,1.3473377688476877,0
24,99,0.4010000000002947,1.0,"[-0.0004321, 0.0223835, 0.802872]","[-0.1856672, 0.2005124, 0.8914201]",-0.03083433,1.596953,-11.7655,12.67689,False,-2.829007318828247,1.2311499343226278,0
25,99,0.41800000000012005,1.0,"[-0.0001251, 0.0224452, 0.8030543]","[-0.1854035, 0.2005733, 0.8913985]",-0.008928401,1.600985,-11.74953,12.68091,False,-2.814379922239692,1.2352422493336703,0
26,99,0.43400000000019645,1.0,"[-0.00048, 0.0220866, 0.7989196]","[-0.1863964, 0.2003745, 0.8912183]",-0.03442582,1.583574,-11.81301,12.67123,False,-2.828012961797638,1.2186998529522723,0
27,99,0.45200000000022555,1.0,"[-0.0006842, 0.0220028, 0.7990807]","[-0.1854339, 0.2006442, 0.8913773]",-0.0490587,1.577252,-11.75167,12.68554,False,-2.8368159221900124,1.2126054230465773,0
28,99,0.46800000000030195,1.0,"[0.000354, 0.0218382, 0.7550902]","[-0.1847664, 0.2006793, 0.89151]",0.02686069,1.656609,-11.70885,12.68586,False,-2.803562811190009,1.287345025674632,0
29,99,0.48500000000012733,1.0,"[0.000693, 0.0211261, 0.7553376]","[-0.1850811, 0.2001545, 0.8914052]",0.05256442,1.602091,-11.72958,12.6552,False,-2.7705947415749934,1.237271411877395,0
30,99,0.5010000000002037,1.0,"[0.0004804, 0.0230069, 0.7810984]","[-0.1853319, 0.2003409, 0.8914638]",0.03524187,1.687133,-11.74428,12.6658,False,-2.805697198136797,1.3157527705477547,0
31,99,0.5180000000000291,1.0,"[0.0006955, 0.0233344, 0.7811981]","[-0.185504, 0.200301, 0.8913288]",0.05100795,1.710914,-11.75662,12.66521,False,-2.8007391275729443,1.3380359375024338,0
32,99,0.5340000000001055,1.0,"[0.0017546, 0.023531, 0.731393]","[-0.1855345, 0.2001715, 0.8914757]",0.13745,1.842731,-11.75661,12.65526,False,-2.7739367675647437,1.4615350166155954,0
33,99,0.5520000000001346,1.0,"[0.001767, 0.0231482, 0.7316126]","[-0.185402, 0.2000549, 0.8914837]",0.1383843,1.812232,-11.74834,12.64802,False,-2.7651313871336574,1.4333026430659916,0
34,99,0.568000000000211,1.0,"[0.0024202, 0.0243694, 0.7696457]","[-0.1856728, 0.1998067, 0.8914945]",0.1801731,1.813557,-11.76488,12.63269,False,-2.735529157180473,1.4352126720301686,0
35,99,0.5850000000000364,1.0,"[0.0023089, 0.0246904, 0.7697409]","[-0.1856075, 0.2005779, 0.891214]",0.1718632,1.837206,-11.76446,12.68374,False,-2.747794380998617,1.456980176683191,0
36,99,0.6010000000001128,1.0,"[0.0012445, 0.0249626, 0.7549866]","[-0.1860843, 0.2002135, 0.8911736]",0.09444818,1.893719,-11.79436,12.66199,False,-2.818363082468586,1.508056552007251,0
37,99,0.6179999999999382,1.0,"[0.0016543, 0.0253011, 0.7551155]","[-0.1862541, 0.199838, 0.891133]",0.1255204,1.919049,-11.80535,12.63956,False,-2.8028462322193985,1.532024480975114,0
38,99,0.6340000000000146,1.0,"[0.00282, 0.0248151, 0.7389337]","[-0.1862206, 0.2003916, 0.8910313]",0.2186585,1.923403,-11.80459,12.67485,False,-2.737243014992002,1.5375789743260566,0
39,99,0.6520000000000437,1.0,"[0.0027492, 0.0244385, 0.7390646]","[-0.1862715, 0.1998572, 0.8910226]",0.2131304,1.8939,-11.80784,12.64225,False,-2.733335793257973,1.5101634816735825,0
40,99,0.6690000000003238,1.0,"[0.0033116, 0.0262175, 0.7420766]","[-0.186255, 0.2000968, 0.8909574]",0.2556852,2.023413,-11.80766,12.65782,False,-2.7373787563272862,1.6308115100685425,0
41,99,0.6849999999999454,1.0,"[0.0034091, 0.0262746, 0.7422935]","[-0.1861556, 0.2001995, 0.890798]",0.2631417,2.027223,-11.80358,12.6663,False,-2.7330499976756646,1.6344621060743099,0
42,99,0.7010000000000218,1.0,"[0.0028887, 0.0253174, 0.7789397]","[-0.1862625, 0.1998742, 0.8909809]",0.2124791,1.861596,-11.80782,12.64387,False,-2.725185540713065,1.4802334396906016,0
43,99,0.718000000000302,1.0,"[0.0027428, 0.0252774, 0.779164]","[-0.1860881, 0.1998719, 0.8908739]",0.2016928,1.858119,-11.79845,12.6452,False,-2.7319900447161167,1.4768368528769757,0
44,99,0.7350000000001273,1.0,"[0.0018685, 0.0237458, 0.7340373]","[-0.1862729, 0.2001971, 0.8908159]",0.1458457,1.85285,-11.81059,12.66591,False,-2.7706176900883124,1.471044244751277,0
45,99,0.7510000000002037,1.0,"[0.0021836, 0.0239494, 0.7342365]","[-0.1863025, 0.1997191, 0.8907784]",0.1703992,1.868217,-11.81289,12.63715,False,-2.757116045495821,1.4856781002735573,0
46,99,0.7680000000000291,1.0,"[0.0027067, 0.0247384, 0.7641823]","[-0.1864073, 0.1994886, 0.890992]",0.2029388,1.854149,-11.81659,12.6201,False,-2.730037866460452,1.473180268218651,0
47,99,0.7850000000003092,1.0,"[0.0024616, 0.0245906, 0.7642901]","[-0.1865735, 0.2002933, 0.8906933]",0.1845388,1.842823,-11.83069,12.67348,False,-2.740206407929752,1.4623896655863429,0
48,99,0.8010000000003856,1.0,"[0.0018033, 0.0245981, 0.7644213]","[-0.1857517, 0.2001519, 0.8910449]",0.1351612,1.843066,-11.77552,12.65999,False,-2.775666821165949,1.461807888315874,0
49,99,0.818000000000211,1.0,"[0.002276, 0.0251426, 0.7645787]","[-0.1858332, 0.1997, 0.8909894]",0.170558,1.883449,-11.78126,12.63309,False,-2.7610653646885854,1.4997883069996774,0
50,99,0.8340000000002874,1.0,"[0.0020753, 0.0244089, 0.7376331]","[-0.185952, 0.199215, 0.8912289]",0.1611977,1.895273,-11.7855,12.60011,False,-2.770929220376384,1.5105865398002245,0
51,99,0.8520000000003165,1.0,"[0.0026228, 0.0241241, 0.7378599]","[-0.1871414, 0.1993263, 0.8908886]",0.2036594,1.872598,-11.86315,12.61158,False,-2.7344426059953566,1.490279183982228,0
52,99,0.8679999999999382,1.0,"[-0.0256625, 0.0661482, 1.12401]","[-0.186211, 0.199867, 0.8909374]",-1.307904,3.367982,-11.8052,12.64402,False,-4.216879492143963,2.850578440855234,0
53,99,0.8850000000002183,1.0,"[-0.0257579, 0.0654816, 1.124163]","[-0.186184, 0.2009089, 0.8905306]",-1.312584,3.333666,-11.80879,12.71342,False,-4.211080449639076,2.8187190899298,0
54,99,0.9010000000002947,0.35,"[-0.1659834, 0.1878153, 1.135414]","[-0.1864475, 0.2007981, 0.8905429]",-8.317019,9.39257,-11.82487,12.70646,False,-10.848323972404133,8.315916134358018,0
55,99,0.91800000000012,0.35,"[-0.166302, 0.1885173, 1.13527]","[-0.1857355, 0.2007345, 0.8906319]",-8.333797,9.428217,-11.77983,12.70134,False,-10.869859906397712,8.348657606289402,0
56,99,0.9349999999999454,0.7,"[-0.1080993, 0.097071, 0.4687476]","[-0.1849563, 0.199716, 0.8910937]",-12.98612,11.69977,-11.72587,12.63264,False,-14.810747179210644,10.376510386506327,0
57,99,0.9520000000002256,0.7,"[-0.1080343, 0.0974384, 0.468901]","[-0.1842538, 0.1994034, 0.8913324]",-12.97447,11.73909,-11.67952,12.61023,False,-14.812884704100261,10.413118245842549,0
58,99,0.968000000000302,0.7,"[-0.1063739, 0.0946199, 0.4726115]","[-0.1839309, 0.199646, 0.8912846]",-12.68458,11.32131,-11.66022,12.62573,False,-14.493638130983257,10.030914578426728,0
