frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,0.8,"[-0.0361378, 0.0190157, 0.7643652]","[-0.1675434, 0.1530817, 0.8666118]",-9.164533,6.203334,-10.94208,10.01761,False,-8.401140525475418,6.420720757543631,14
1,99,0.01710000000002765,0.8,"[-0.037378, 0.0199269, 0.7645126]","[-0.1699443, 0.1516794, 0.866192]",-8.822934,6.307605,-11.10026,9.932395,False,-8.103265524337774,6.5020971745551925,14
2,99,0.03340000000002874,0.9,"[-0.049126, 0.016282, 0.7614577]","[-0.1734025, 0.1496648, 0.8664419]",-8.843026,6.490145,-11.31719,9.800277,False,-8.121499842923898,6.68822279429269,14
3,99,0.05040000000008149,0.9,"[-0.0502604, 0.0182997, 0.7614596]","[-0.1741767, 0.1462568, 0.8674233]",-8.548918,8.123595,-11.35388,9.570657,False,-7.870879308131629,8.320280229991596,14
4,99,0.06690000000003238,0.8,"[-0.0591961, 0.0198304, 0.7143645]","[-0.1754594, 0.1410851, 0.8691721]",-8.574328,8.130638,-11.41289,9.219907,False,-7.893092887691922,8.329201879610036,14
5,99,0.08360000000004675,0.9,"[-0.0633678, 0.0180464, 0.7129305]","[-0.1761989, 0.1347499, 0.8697144]",-8.086056,8.051799,-11.45277,8.807143,False,-7.46645629896919,8.214933699659555,14
6,99,0.10009999999999764,0.9,"[-0.0652101, 0.0180593, 0.712332]","[-0.176882, 0.129187, 0.8706064]",-8.003431,8.060936,-11.48452,8.440379,False,-7.394346265217109,8.218342153495351,14
7,99,0.12130000000001928,0.9,"[-0.0697634, 0.0169347, 0.7050926]","[-0.1733131, 0.1237458, 0.8734144]",-7.311674,8.249379,-11.2235,8.064026,False,-6.791046843423184,8.3601528252297,14
8,99,0.13840000000004693,0.9,"[-0.0712339, 0.0158258, 0.7053233]","[-0.173105, 0.1193012, 0.8751718]",-7.33729,8.273153,-11.18843,7.762567,False,-6.8135036138032,8.386018577480495,14
9,99,0.15020000000004075,0.8,"[-0.0988059, 0.0559621, 0.6148798]","[-0.1734546, 0.117941, 0.8755254]",-6.569262,7.643141,-11.20604,7.672061,False,-6.140510079914631,7.694273386140225,14
10,99,0.16669999999999163,0.8,"[-0.0991269, 0.0550256, 0.6146306]","[-0.1753806, 0.1186367, 0.8750741]",-6.465302,7.65645,-11.33296,7.720706,False,-6.049787026685546,7.700396155971969,14
11,99,0.18360000000006949,0.8,"[-0.0991207, 0.0537061, 0.6146172]","[-0.175621, 0.1177222, 0.8744811]",-5.900885,7.030656,-11.35559,7.667033,False,-5.554593867339,7.027302955748771,14
