frame,PathIDX,seconds,gaze_confidence,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,left_right_eye_is_blinking,gaze_x_recal,gaze_y_recal,correction_index
0,99,0.0,1.0,"[0.1741289, -0.1519003, 1.142246]","[0.1318, -0.1039, 0.9615]",8.66768,-7.574969,7.805315,-6.167469,False,8.588328784804068,-7.481058477125894,0
1,99,0.01659999999998263,1.0,"[0.122307, -0.1137728, 0.9462223]","[0.1318001, -0.1039, 0.9615002]",7.365113,-6.856272,7.805317,-6.167469,False,7.26678834992355,-6.763039174446148,0
2,99,0.0333999999999719,1.0,"[0.122905, -0.1146241, 0.9460528]","[0.1318, -0.1039, 0.9615]",7.402038,-6.908305,7.805315,-6.167469,False,7.304268251217527,-6.8138035199209455,0
3,99,0.04989999999997963,1.0,"[0.1477448, -0.1326441, 1.093424]","[0.1318, -0.1039, 0.9615002]",7.695274,-6.9168,7.805314,-6.167467,False,7.6016930484594525,-6.828195920781982,0
4,99,0.06689999999997553,1.0,"[0.1478492, -0.1325832, 1.093185]","[0.1318, -0.1039, 0.9615]",7.702305,-6.91515,7.805315,-6.167469,False,7.6088234864116995,-6.826760480265918,0
5,99,0.08339999999998327,1.0,"[0.1475911, -0.1306105, 1.097996]","[0.1318, -0.1039, 0.9615]",7.655729,-6.783658,7.805315,-6.167469,False,7.561512094565627,-6.6994678602763775,0
6,99,0.0999999999999659,1.0,"[0.1468284, -0.1295116, 1.098229]","[0.1317999, -0.1039, 0.9615]",7.615033,-6.72569,7.805312,-6.167469,False,7.520204189082554,-6.642922588348642,0
7,99,0.1168999999999869,1.0,"[0.1542074, -0.137061, 1.181149]","[0.1318001, -0.1039, 0.9614999]",7.438302,-6.619023,7.80532,-6.167469,False,7.340893963419088,-6.536708836546339,0
8,99,0.13349999999996953,1.0,"[0.1528766, -0.1361713, 1.180997]","[0.1318, -0.1039, 0.9614999]",7.375756,-6.577272,7.805316,-6.167469,False,7.277433008273324,-6.495276143374914,0
9,99,0.1501999999999839,1.0,"[0.1556673, -0.141065, 1.221759]","[0.1318, -0.1039, 0.9615003]",7.261074,-6.586243,7.805313,-6.167467,False,7.161119425284689,-6.501455565471379,0
10,99,0.16669999999999163,1.0,"[0.1543882, -0.1395041, 1.221402]","[0.1318001, -0.1039, 0.9615]",7.204124,-6.515881,7.805319,-6.167469,False,7.103318916619067,-6.432659948989429,0
11,99,0.18319999999999936,1.0,"[0.1358081, -0.1221577, 1.058667]","[0.1318001, -0.1039, 0.9615006]",7.3101,-6.582151,7.805314,-6.167466,False,7.210842780784466,-6.498567091706705,0
12,99,0.19999999999998863,1.0,"[0.1363948, -0.1228221, 1.058499]","[0.1317999, -0.1039, 0.9614999]",7.34249,-6.618672,7.805312,-6.16747,False,7.243714620205193,-6.5343352290829575,0
13,99,0.21659999999997126,1.0,"[0.138303, -0.126854, 1.121029]","[0.1318001, -0.1039, 0.9615]",7.033126,-6.456046,7.805323,-6.167469,False,6.929848709314999,-6.371551822463074,0
14,99,0.23329999999998563,1.0,"[0.1402909, -0.1268115, 1.12082]","[0.1318001, -0.1039, 0.9614999]",7.134498,-6.455095,7.80532,-6.167469,False,7.032666687941667,-6.372792989834809,0
15,99,0.24989999999996826,1.0,"[0.118335, -0.1121977, 0.9998454]","[0.1317999, -0.1039, 0.9615003]",6.749746,-6.402665,7.805306,-6.167467,False,6.642396382927268,-6.314254337530936,0
16,99,0.26659999999998263,1.0,"[0.1189187, -0.1126337, 0.9995905]","[0.1317999, -0.1039, 0.9615003]",6.784441,-6.42896,7.80531,-6.167468,False,6.677600607226642,-6.340249036907151,0
17,99,0.28319999999996526,1.0,"[0.1483529, -0.1376293, 1.220245]","[0.1317999, -0.1039, 0.9615002]",6.931787,-6.435094,7.805311,-6.167467,False,6.827052409430982,-6.3492727599371035,0
18,99,0.30009999999998627,1.0,"[0.1473262, -0.1381965, 1.219873]","[0.1318001, -0.1039, 0.9615006]",6.88636,-6.463343,7.805317,-6.167465,False,6.780992414191008,-6.375441371823798,0
19,99,0.316599999999994,1.0,"[0.1279155, -0.1231235, 1.089173]","[0.1317999, -0.1039, 0.9614999]",6.698293,-6.449515,7.805312,-6.16747,False,6.5902344162950985,-6.358161778543169,0
20,99,0.3331999999999766,1.0,"[0.1280127, -0.1232123, 1.088777]","[0.1317999, -0.1039, 0.9615]",6.705749,-6.456451,7.805312,-6.167469,False,6.597800541160504,-6.364982524198756,0
21,99,0.3603999999999701,1.0,"[0.1705564, -0.1437677, 1.210424]","[0.1318001, -0.1039, 0.9614999]",8.020535,-6.773551,7.805324,-6.16747,False,7.931518118763629,-6.69751359253466,0
22,99,0.3668999999999869,1.0,"[0.1707262, -0.1415059, 1.210685]","[0.1318001, -0.1039, 0.9615002]",8.026711,-6.666535,7.805321,-6.167467,False,7.9377246296516315,-6.594852255829208,0
23,99,0.38379999999995107,1.0,"[0.1715664, -0.1418907, 1.213043]","[0.1318001, -0.1039, 0.9615003]",8.050218,-6.671619,7.80532,-6.167468,False,7.961569791302898,-6.600235250719949,0
24,99,0.4001999999999839,1.0,"[0.1716967, -0.141625, 1.212796]","[0.1317999, -0.1039, 0.9615002]",8.057871,-6.660583,7.805311,-6.167468,False,7.969326051420959,-6.589797449807474,0
25,99,0.41689999999999827,1.0,"[0.1721411, -0.141504, 1.22548]","[0.1318001, -0.1039, 0.9615002]",7.995927,-6.586672,7.805317,-6.167468,False,7.906458371990524,-6.517486748660278,0
26,99,0.4334999999999809,1.0,"[0.1722227, -0.1422668, 1.225277]","[0.1318, -0.1039, 0.9615001]",8.000976,-6.622952,7.805315,-6.167469,False,7.9115989492759,-6.55244227111402,0
27,99,0.45189999999996644,1.0,"[0.1369571, -0.1112734, 0.9876834]","[0.1318, -0.1039, 0.9615002]",7.894577,-6.427898,7.805314,-6.167467,False,7.8035767145274555,-6.362824607278494,0
28,99,0.4667999999999779,1.0,"[0.1373355, -0.1132625, 0.9873672]","[0.1318, -0.1039, 0.9615004]",7.918614,-6.543889,7.805312,-6.167467,False,7.828019148938493,-6.474748914610607,0
29,99,0.48349999999999227,1.0,"[0.1612744, -0.1298899, 1.135668]","[0.1317999, -0.1039, 0.9614999]",8.082441,-6.524747,7.805312,-6.167469,False,7.99417351264135,-6.459844456227783,0
